usCite,caseName,dateDecision
"26 U.S. 110","Governor of Georgia v. Madrazo","1828-02-13"
"26 U.S. 136","Mandeville v. Holey & Suckley","1828-01-21"
"26 U.S. 138","Greenleaf v. Queen","1828-02-25"
"26 U.S. 151","Buck & Hedrick v. Chesapeake Ins. Co","1828-02-08"
"26 U.S. 165","Wright v. Lessee of Hollingsworth","1828-01-29"
"26 U.S. 170","McLanahan v. Universal Ins. Co","1828-02-12"
"26 U.S. 193","Comegys v. Vasse","1828-03-07"
"26 U.S. 222","Karthaus v. Ferrer","1828-03-04"
"26 U.S. 232","Horsburg v. Baker","1828-02-06"
"26 U.S. 238","Breithaupt v. Bank of Georgia","1828-02-06"
"26 U.S. 241","Findlay v. Hinde","1828-03-11"
"26 U.S. 248","Grant v. McKee ex rel. Bank of Kentucky","1828-01-26"
"26 U.S. 250","Konig v. Bayard","1828-03-10"
"26 U.S. 264","Schimmelpennich v. Bayard","1828-03-10"
"26 U.S. 293","Parker v. United States","1828-03-15"
"26 U.S. 299","Mechanics Bank of Alexandria v. Seton","1828-01-30"
"26 U.S. 311","Barry v. Foyles","1828-02-14"
"26 U.S. 318","Dox v. Postmaster General","1828-01-19"
"26 U.S. 328","Elliott v. Lessee of Peirsol","1828-02-16"
"26 U.S. 343","Lessee of Spratt v. Spratt","1828-02-14"
"26 U.S. 351","Bell v. Morrison","1828-02-26"
"26 U.S. 376","Mechanics Bank of Alexandria v. Lynn","1828-02-20"
"26 U.S. 386","Conard v. Atlantic Ins. Co of N.Y","1828-03-14"
"26 U.S. 455","Bank of Columbia v. Hagner","1828-02-12"
"26 U.S. 469","Doe v. Grymes","1828-02-26"
"26 U.S. 476","D'Wolf v. Rabaud","1828-03-17"
"26 U.S. 503","Davis v. Mason","1828-02-22"
"26 U.S. 511","American Ins. Co. v. 356 Bales of Cotton","1828-03-15"
"26 U.S. 547","United States v. 422 Casks of Wine","1828-02-15"
"26 U.S. 552","Steele's Lessee v. Spencer","1828-02-19"
"26 U.S. 562","Nicholls v. Hodges","1828-02-27"
"26 U.S. 567","Bank of Columbia v. Sweeny","1828-03-10"
"26 U.S. 570","Waring v. Jackson","1828-03-11"
"26 U.S. 573","United States v. Stansbury","1828-03-17"
"26 U.S. 578","Bank of Columbia ex rel. Bank of US v. Lawrence","1828-02-28"
"26 U.S. 585","Archer v. Deneale","1828-02-18"
"26 U.S. 591","Tayloe v. Riggs","1828-02-22"
"26 U.S. 604","Fullerton v. Bank of United States","1828-03-07"
"26 U.S. 620","McDonald v. Smalley","1828-02-21"
"26 U.S. 626","McArthur v. Porter's Lessee","1828-02-18"
"26 U.S. 628","Jackson v. Clark","1828-02-26"
"26 U.S. 640","Barry v. Coombe","1828-02-29"
"26 U.S. 655","Ross v. Doe","1828-03-17"
"26 U.S. 670","Pray v. Belt","1828-03-17"
"26 U.S. 683","Alexander v. Brown","1828-02-21"
"26 U.S. 686","Biddle v. Wilkins","1828-03-17"
"27 U.S. 1","Pennock v. Dialogue","1829-01-26"
"27 U.S. 25","Columbian Ins. Co. of Alexandria v. Lawrence","1829-01-28"
"27 U.S. 58","Gardner v. Collins","1829-02-03"
"27 U.S. 96","Williams v. Bank of United States","1829-01-29"
"27 U.S. 107","Venable v. Bank of United States","1829-02-03"
"27 U.S. 121","Bank of United States v. Corcoran","1829-02-03"
"27 U.S. 136","Jackson v. Twentyman","1829-02-06"
"27 U.S. 137","Van Ness v. Pacard","1829-02-07"
"27 U.S. 150","Boyce v. Anderson","1829-02-07"
"27 U.S. 157","Thompson v. Tolmie","1829-02-12"
"27 U.S. 170","Townsley v. Sumrall","1829-02-10"
"27 U.S. 186","Le Roy, Bayard & Co. v. Johnson","1829-02-12"
"27 U.S. 201","Hunt v. Wickliffe","1829-02-27"
"27 U.S. 216","Patterson v. Jenks","1829-02-13"
"27 U.S. 239","Harper v. Butler","1829-03-02"
"27 U.S. 241","Lessee of Powell v. Harman","1829-03-03"
"27 U.S. 243","Ritchie v. Mauro","1829-02-16"
"27 U.S. 245","Willson v. Black Bird Creek Marsh Co","1829-03-20"
"27 U.S. 253","Foster v. Neilson","1829-03-09"
"27 U.S. 318","Bank of Kentucky v. Wister","1829-02-14"
"27 U.S. 327","Bank of Kentucky v. Ashley","1829-02-14"
"27 U.S. 331","Bank of United States v. Weisiger","1829-02-27"
"27 U.S. 354","Campbell's Executors v. Pratt","1829-03-03"
"27 U.S. 358","American Fur Co. v. United States","1829-03-11"
"27 U.S. 370","Danbridge v. Washington's Executors","1829-02-16"
"27 U.S. 380","Satterlee v. Matthewson","1829-02-24"
"27 U.S. 417","Reynolds v. McArthur","1829-02-04"
"27 U.S. 442","Southwick v. Postmaster General","1829-03-07"
"27 U.S. 449","Weston v. City Council of Charleston","1829-03-18"
"27 U.S. 481","Bank of United States v. Weisger","1829-03-17"
"27 U.S. 482","Mandeville v. Riggs","1829-03-12"
"27 U.S. 492","Bank of Hamilton v. Lessee of Dudley","1829-02-25"
"27 U.S. 527","Bank of United States v. Owens","1829-03-17"
"27 U.S. 543","Bank of United States v. Carneal","1829-03-10"
"27 U.S. 554","Canter v. American & Ocean Ins. Co of N.Y","1829-03-17"
"27 U.S. 556","Conolly v. Taylor","1829-03-07"
"27 U.S. 566","Beatty v. Kurtz","1829-03-17"
"27 U.S. 586","Buckner v. Finley","1829-03-18"
"27 U.S. 595","English v. Foxall","1829-03-10"
"27 U.S. 613","Chirac v. Reinecker","1829-03-20"
"27 U.S. 627","Wilkinson v. Leland","1829-02-23"
"27 U.S. 664","Le Grand v. Darnall","1829-03-20"
"27 U.S. 671","Bank of Columbia v. Sweeney","1829-03-19"
"27 U.S. 675","Beach v. Viles","1829-03-20"
"28 U.S. 1","Keene v. Meade","1830-01-23"
"28 U.S. 12","United States v. Buford","1830-01-26"
"28 U.S. 33","Gordon v. Ogden","1830-01-29"
"28 U.S. 36","Thornton v. Bank of Washington","1830-01-25"
"28 U.S. 43","Willison v. Watkins","1830-02-20"
"28 U.S. 57","United States v. Preston","1830-01-29"
"28 U.S. 68","Bank of United States v. Swan","1830-02-01"
"28 U.S. 69","Bell v. Cunningham","1830-02-11"
"28 U.S. 87","Magruder v. Union Bank of Georgetown","1830-02-15"
"28 U.S. 92","Chinoweth v. Lessee of Haskell","1830-02-15"
"28 U.S. 99","Inglis v. Trustees of Sailor's Snug Harbour","1830-02-02"
"28 U.S. 191","Inglis v. Trustees of Sailor's Snug Harbour","1830-03-06"
"28 U.S. 193","Ex Parte Watkins","1830-02-06"
"28 U.S. 210","Boyce's Executors v. Grundy","1830-02-02"
"28 U.S. 222","Patapsco Ins. Co. v. Coulter","1830-03-04"
"28 U.S. 242","Shanks v. Dupont","1830-02-02"
"28 U.S. 269","Wolf v. Usher","1830-02-25"
"28 U.S. 270","McCluny v. Silliman","1830-02-12"
"28 U.S. 280","Jackson v. Lamphire","1830-02-06"
"28 U.S. 292","Harris v. Dennie","1830-02-22"
"28 U.S. 307","Canter v. American and Ocean Ins. Cos","1830-02-12"
"28 U.S. 320","Stringer v. Lessee of Young","1830-03-15"
"28 U.S. 346","Finlay v. King's Lessee","1830-02-02"
"28 U.S. 397","Anonymous","1830-02-20"
"28 U.S. 398","Fowle v. Common Council of Alexandria","1830-02-20"
"28 U.S. 411","Clay v. Smith","1830-02-16"
"28 U.S. 413","Parsons v. Armor","1830-02-09"
"28 U.S. 431","Bank of Kentucky v. Wistar","1830-03-18"
"28 U.S. 433","Parsons v. Bedford","1830-02-09"
"28 U.S. 459","Ferrar v. United States","1830-02-11"
"28 U.S. 461","New Jersey v. New York","1830-03-06"
"28 U.S. 469","John Smith T. v. Honey","1830-03-22"
"28 U.S. 470","McDonald v. Magruder","1830-03-04"
"29 U.S. 1","Carver v. Jackson","1830-03-02"
"29 U.S. 102","Ex Parte Bradstreet","1830-03-06"
"29 U.S. 108","Ex Parte Tillinghast","1830-03-18"
"29 U.S. 111","Boyce v. Edwards","1830-03-16"
"29 U.S. 124","United States v. Morrison","1830-03-16"
"29 U.S. 139","Columbian Ins. Co. of Alexandria v. Ashby","1830-03-19"
"29 U.S. 147","Harris v. D'Wolf","1830-03-16"
"29 U.S. 152","Beaty v. Lessee of Knowler","1830-03-04"
"29 U.S. 172","Wilcox v. Executors of Plummer","1830-03-19"
"29 U.S. 184","Bartle v. Nutt","1830-03-17"
"29 U.S. 190","Caldwell v. Taggart","1830-03-16"
"29 U.S. 205","Lloyd v. Scott","1830-02-27"
"29 U.S. 232","Van Ness v. Mayor of Washington","1830-03-15"
"29 U.S. 287","Lagrange v. Chouteau","1830-03-22"
"29 U.S. 291","Conard v. Nicoll","1830-02-12"
"29 U.S. 311","King v. Hamilton","1830-03-01"
"29 U.S. 332","Galt v. Galloway","1830-03-16"
"29 U.S. 349","Ronkendorff v. Taylor's Lessee","1830-03-22"
"29 U.S. 366","Bank of United States v. Tyler","1830-03-03"
"29 U.S. 392","Saunders v. Gould","1830-03-02"
"29 U.S. 393","Spratt v. Spratt","1830-03-04"
"29 U.S. 410","Craig v. Missouri","1830-03-12"
"29 U.S. 466","Hollingsworth v. Barbour","1830-03-22"
"29 U.S. 480","Soc. for Propagation of Gospel v. Town of Pawlet","1830-03-19"
"29 U.S. 511","Soulard v. United States","1830-03-13"
"29 U.S. 514","Providence Bank v. Billings","1830-03-22"
"30 U.S. 1","Cherokee Nation v. Georgia","1831-03-18"
"30 U.S. 81","Lessee of Scott v. Ratliffe","1831-03-14"
"30 U.S. 90","Livingston v. Smith","1831-01-22"
"30 U.S. 99","Union Bank of Georgetown v. Geary","1831-02-01"
"30 U.S. 115","United States v. Tingey","1831-01-28"
"30 U.S. 131","United States v. Tingey's Administrator","1831-01-28"
"30 U.S. 132","Greenleaf's Lessee v. Birth","1831-02-04"
"30 U.S. 141","Simonton v. Winter","1831-01-25"
"30 U.S. 151","Henderson v. Griffin","1831-02-09"
"30 U.S. 160","Backhouse v. Patton","1831-01-26"
"30 U.S. 173","Hunter v. United States","1831-01-29"
"30 U.S. 190","Ex Parte Crane","1831-03-02"
"30 U.S. 224","Yeaton v. Lynn ex rel. Lyles","1831-01-21"
"30 U.S. 233","Doe v. Winn","1831-02-14"
"30 U.S. 248","Lessor of Fisher v. Cockerell","1831-02-09"
"30 U.S. 264","Cathcart v. Robinson","1831-02-03"
"30 U.S. 284","New Jersey v. New York","1831-02-11"
"30 U.S. 292","Smith v. United States","1831-01-19"
"30 U.S. 304","Page v. Lloyd","1831-02-16"
"30 U.S. 319","Lessee of Clarke v. Courtney","1831-03-08"
"30 U.S. 358","Tayloe v. Thomson's Lessee","1831-01-28"
"30 U.S. 373","Farrar v. United States","1831-02-01"
"30 U.S. 390","Shankland v. Mayor of Washington","1831-01-21"
"30 U.S. 398","Hinde v. Lessee of Vattier","1831-01-22"
"30 U.S. 402","Jackson v. Huntington","1831-03-15"
"30 U.S. 449","Mayor of New Orleans v. United States","1831-03-17"
"30 U.S. 451","Levy Court of Washington Cty v. Ringgold","1831-02-15"
"30 U.S. 457","Hawkins v. Barney's Lessee","1831-02-17"
"30 U.S. 470","Lewis v. Marshall","1831-03-03"
"30 U.S. 479","Bank of United States v. Martin","1831-02-04"
"30 U.S. 481","Peltz v. Clarke","1831-02-05"
"30 U.S. 485","Peyton v. Stith","1831-02-07"
"30 U.S. 495","Fowle v. Lawrason's Executor","1831-01-22"
"30 U.S. 505","Menard v. Aspasia","1831-03-08"
"30 U.S. 518","Smith v. Union Bank of Georgetown","1831-02-08"
"30 U.S. 529","Winship v. Bank of United States","1831-02-26"
"30 U.S. 580","Tiernan v. Jackson","1831-03-10"
"30 U.S. 604","Patapsco Ins. Co. v. Southgate","1831-03-15"
"30 U.S. 624","Edmondston v. Drake","1831-03-14"
"30 U.S. 641","United States v. Robertson","1831-03-11"
"30 U.S. 675","Sheppard v. Taylor","1831-02-19"
"30 U.S. 718","Potter v. Gardner","1831-03-18"
"31 U.S. 1","Schimmelpennick & Laer v. Turner","1832-01-18"
"31 U.S. 8","Bank of United States v. Bank of Washington","1832-01-24"
"31 U.S. 20","Kirkman v. Hamilton","1832-01-24"
"31 U.S. 26","Bank of United States v. Green","1832-01-30"
"31 U.S. 29","United States v. State Bank of N. C","1832-01-24"
"31 U.S. 41","Davis v. Packar","1832-01-31"
"31 U.S. 51","Bank of United States v. Dunn","1832-01-30"
"31 U.S. 61","Miller's Heirs v. McIntyre","1832-01-21"
"31 U.S. 68","Smith T. v. Bell","1832-02-04"
"31 U.S. 86","Moore v. Bank of Columbia","1832-01-28"
"31 U.S. 95","Peirsoll v. Elliott","1832-01-18"
"31 U.S. 102","Lessee of Levy v. McCartee","1832-03-01"
"31 U.S. 124","Lessee of Sicard v. Davis","1832-01-26"
"31 U.S. 141","United States v. Paul","1832-02-18"
"31 U.S. 143","Oliver v. Alexander","1832-03-07"
"31 U.S. 151","Spring v. Executors of Gray","1832-02-09"
"31 U.S. 170","Dufau v. Couprey's Heirs","1831-02-03"
"31 U.S. 172","Cox v. United States","1832-02-23"
"31 U.S. 205","McArthur v. Porter","1832-01-24"
"31 U.S. 216","Ex Parte Roberts","1832-02-28"
"31 U.S. 218","Grant v. Raymond","1832-02-23"
"31 U.S. 250","Bank of United States v. Hatch","1832-02-03"
"31 U.S. 261","McDonald's Heirs v. Smalley","1832-03-13"
"31 U.S. 262","Conard v. Pacific Ins. Co of N.Y","1832-01-28"
"31 U.S. 283","Ross v. McLung","1832-03-16"
"31 U.S. 291","Green v. Lessee of Neal","1832-01-28"
"31 U.S. 302","Greenleaf's Lessee v. Birth","1832-01-28"
"31 U.S. 317","Leland v. Wilkinson","1832-02-18"
"31 U.S. 323","New Jersey v. New York","1832-01-31"
"31 U.S. 328","Boardman v. Lessees of Reed","1832-02-21"
"31 U.S. 348","Boyle v. Zacharie",""
"31 U.S. 349","Scott v. Lunt's Administrator","1832-01-30"
"31 U.S. 352","United States v. Reyburn","1832-02-04"
"31 U.S. 369","Hughes v. Trustees of Clarksville","1832-02-15"
"31 U.S. 389","Watts v. Waddle","1832-02-06"
"31 U.S. 404","McLane v. United States","1832-02-07"
"31 U.S. 431","Cincinnati v. Lessee of White","1832-02-28"
"31 U.S. 445","United States v. Quincy","1832-02-13"
"31 U.S. 470","United States v. Nourse","1832-02-18"
"31 U.S. 498","Barclay v. Howell's Lessee","1832-03-12"
"31 U.S. 515","Worcester v. Georgia","1832-03-03"
"31 U.S. 598","Crane v. Lessee of Morris","1832-02-16"
"31 U.S. 622","Kelly v. Jackson","1832-02-16"
"31 U.S. 634","United States v. McDaniel","1832-02-14"
"31 U.S. 635","Boyle v. Zacharie & Turner","1832-02-21"
"31 U.S. 648","Boyle v. Zacharie & Turner","1832-02-21"
"31 U.S. 661","Ex Parte Davenport","1832-03-15"
"31 U.S. 666","Lindsey v. Lessee of Miller","1832-01-25"
"31 U.S. 680","Wallace v. Parker","1832-01-31"
"31 U.S. 691","United States v. Arredondo","1832-03-17"
"31 U.S. 761","Gassies v. Ballon","1832-03-15"
"31 U.S. 763","Strother v. Lucas","1832-03-15"
"31 U.S. 774","Ex Parte Bradstreet","1832-03-16"
"31 U.S. 776","United States v. Phillips","1832-01-23"
"31 U.S. 777","Veitch & Co. v. Farmers Bank of Alexandria","1832-03-14"
"31 U.S. 777","Boyce v. Grundy","1832-01-30"
"32 U.S. 1","United States v. MacDaniel","1833-02-22"
"32 U.S. 18","United States v. Ripley","1833-02-26"
"32 U.S. 28","United States v. Fillebrown","1833-02-22"
"32 U.S. 51","United States v. Percheman","1833-02-14"
"32 U.S. 99","Minor v. Tillotson","1833-03-13"
"32 U.S. 103","Nichols v. Fearson","1833-03-12"
"32 U.S. 113","Douglass v. Reynolds, Byrne & Co","1833-03-11"
"32 U.S. 130","Estho v. Lear","1833-03-06"
"32 U.S. 132","United States v. Turner","1833-03-12"
"32 U.S. 138","United States v. Mills","1833-03-12"
"32 U.S. 144","Pickett's Heirs v. Legerwood","1833-03-02"
"32 U.S. 150","United States v. Wilson","1833-01-26"
"32 U.S. 164","United States v. Brewster","1833-03-13"
"32 U.S. 168","Farmers Bank of Alexandria v. Hooff","1833-03-13"
"32 U.S. 171","Holmes v. Trout","1833-02-14"
"32 U.S. 220","Yeaton v. Lenox","1833-03-04"
"32 U.S. 222","Sampeyreac v. United States","1833-03-06"
"32 U.S. 243","Barron ex rel. Tiernan v. Mayor of Baltimore","1833-02-16"
"32 U.S. 252","Vattier v. Hinde","1833-03-05"
"32 U.S. 276","Davis v. Packard","1833-01-30"
"32 U.S. 287","Union Bank of Georgetown v. Magruder","1833-02-22"
"32 U.S. 292","Shaw v. Cooper","1833-03-12"
"32 U.S. 324","Peyroux v. Howard","1833-02-19"
"32 U.S. 348","Magniac v. Thompson","1833-01-28"
"32 U.S. 399","Owings v. Kincannon","1833-02-02"
"32 U.S. 404","Barlow v. United States","1833-02-05"
"32 U.S. 413","Breedlove & Robeson v. Nicolet & Sigg","1833-02-25"
"32 U.S. 435","Duncan's Heirs v. United States","1833-01-30"
"32 U.S. 453","United States v. 84 Boxes of Sugar","1833-02-20"
"32 U.S. 464","Tyrell's Heirs v. Rountree","1833-01-18"
"32 U.S. 469","Lessee of Livingston v. Moore","1833-02-25"
"32 U.S. 554","Morris v. Lessee of Harmer's Heirs","1833-03-05"
"32 U.S. 568","Ex Parte Watkins","1833-03-01"
"32 U.S. 586","Scholefield v. Eichelberger","1833-02-11"
"32 U.S. 596","Scott v. Lunt's Administrator","1833-02-11"
"32 U.S. 608","Brashear v. West","1833-03-01"
"32 U.S. 625","Heirs of Dubourge de St Colombe v. United States","1833-03-06"
"32 U.S. 627","Ex Parte Madrazzo","1833-02-28"
"32 U.S. 633","Ward v. Gregory","1833-02-16"
"32 U.S. 634","Ex Parte Bradstreet","1833-03-13"
"32 U.S. 651","Rhode Island v. Massachusetts","1833-03-02"
"33 U.S. 1","Dunn v. Clarke","1834-01-31"
"33 U.S. 4","Stratton v. Jarvis","1834-01-25"
"33 U.S. 12","Bank of Metropolis v. Jones","1834-01-23"
"33 U.S. 18","Erwin v. Blake","1834-01-23"
"33 U.S. 30","Dick v. Balch","1834-01-23"
"33 U.S. 40","Byrne v. Missouri","1834-01-18"
"33 U.S. 44","Lee v. Lee","1834-02-15"
"33 U.S. 52","Armstrong v. Lear","1834-02-11"
"33 U.S. 75","Garnett v. Jenkins","1834-02-24"
"33 U.S. 88","Watson v. Mercer","1834-03-08"
"33 U.S. 112","Brown v. Keene","1834-02-01"
"33 U.S. 118","Briscoe v. Commonwealth's Bank of Ky","1834-01-30"
"33 U.S. 120","City of New York v. Miln","1834-01-30"
"33 U.S. 123","Yeaton v. Lenox","1834-02-17"
"33 U.S. 128","Bank of United States v. Ritchie","1834-02-08"
"33 U.S. 148","Jackson v. Ashton","1834-03-07"
"33 U.S. 150","United States v. Ringgold","1834-03-01"
"33 U.S. 165","Lutz v. Linthicum","1834-03-11"
"33 U.S. 181","Robinson v. Noble's Administrator","1834-03-08"
"33 U.S. 201","Binney v. Chesapeake & Ohio Canal Co","1834-03-14"
"33 U.S. 214","Lessee of Binney v. Chesapeake & Ohio Canal Co","1834-02-12"
"33 U.S. 220","McCutchen v. Marshall","1834-03-11"
"33 U.S. 244","Gregg v. Lessee of Sayre","1834-03-12"
"33 U.S. 256","Mandeville v. Burt","1834-01-23"
"33 U.S. 259","Chesapeake&Ohio Canal Co. v. Union Bank of Geo'tn..","1834-01-24"
"33 U.S. 262","Bank of United States v. White","1834-03-14"
"33 U.S. 271","United States v. Hack","1834-03-08"
"33 U.S. 277","United States v. 112 Casks of Sugar","1834-03-17"
"33 U.S. 281","Mumma v. Potomac Co","1834-03-12"
"33 U.S. 288","United States v. Randenbush","1834-03-11"
"33 U.S. 291","Life & Fire Ins. Co. of N. Y. v. Heirs of Wilson","1834-02-06"
"33 U.S. 306","Life & Fire Ins. Co. of N. Y. v. Adams","1834-02-06"
"33 U.S. 307","Mitchell v. United States",""
"33 U.S. 308","Keene v. McDonough","1834-02-12"
"33 U.S. 312","Davis v. Packard","1834-03-17"
"33 U.S. 326","King v. Mitchell","1834-03-07"
"33 U.S. 355","Withers v. Withers","1834-01-24"
"33 U.S. 361","Bank of United States v. Donnally","1834-03-17"
"33 U.S. 375","United States v. Jones","1834-02-19"
"33 U.S. 387","United States v. Jones","1834-02-21"
"33 U.S. 399","United States v. Jones","1834-02-19"
"33 U.S. 420","Holt v. Rogers","1834-02-21"
"33 U.S. 435","Brown v. Swann","1834-03-07"
"33 U.S. 436","United States v. Clarke","1834-03-12"
"33 U.S. 470","United States v. Richard","1834-03-15"
"33 U.S. 475","United States v. Huertas","1834-03-15"
"33 U.S. 477","United States v. Gomez","1834-03-15"
"33 U.S. 478","United States v. Fleming's Heirs","1834-03-15"
"33 U.S. 479","United States v. Levi","1834-03-15"
"33 U.S. 484","United States v. Younge","1834-03-15"
"33 U.S. 485","United States v. Hernandez","1834-03-14"
"33 U.S. 488","United States v. Huertas","1834-03-14"
"33 U.S. 492","United States v. Fatio's Heirs","1834-03-15"
"33 U.S. 494","United States v. Gibson","1834-03-15"
"33 U.S. 495","Carrington v. Merchants' Ins. Co","1834-03-03"
"33 U.S. 526","Deneale v. Archer","1834-02-12"
"33 U.S. 528","Deneale v. Archer","1834-02-28"
"33 U.S. 532","Boon's Heirs v. Chiles","1834-03-19"
"33 U.S. 538","Ship Virgin v. Vyfhius","1834-02-05"
"33 U.S. 557","Hazard's Administrator v. New Eng. Marine Ins. Co","1834-03-14"
"33 U.S. 588","Ex Parte Bradstreet","1834-03-13"
"33 U.S. 591","Wheaton v. Peters","1834-03-19"
"33 U.S. 700","United States v. Phelps","1834-03-19"
"34 U.S. 1","Brown v. Swann","1835-01-14"
"34 U.S. 4","Lessee of Smith v. Trabue's Heirs","1835-01-19"
"34 U.S. 8","United States v. Nourse","1835-01-31"
"34 U.S. 33","Bank of Alexandria v. Swann","1835-01-20"
"34 U.S. 48","Bank of Georgia v. Higginbottom","1835-01-28"
"34 U.S. 62","Coulson v. Walton","1835-02-17"
"34 U.S. 85","Mayor of New York v. Miln","1835-01-31"
"34 U.S. 85","Briscoe v. Commonwealth's Bank of Kentucky","1835-01-31"
"34 U.S. 86","Caldwell v. Carrington's Heirs","1835-01-29"
"34 U.S. 107","Bradley v. Wash. Alexandria & Geo'tn Steam-Packet","1835-02-03"
"34 U.S. 117","Delassus v. United States","1835-02-18"
"34 U.S. 137","Chouteau's Heirs v. United States","1835-02-18"
"34 U.S. 147","Chouteau's Heirs v. United States","1835-02-18"
"34 U.S. 156","Hiriart v. Ballon","1835-02-17"
"34 U.S. 168","United States v. Clarke","1834-03-14"
"34 U.S. 171","United States v. Huertas","1834-03-14"
"34 U.S. 174","Tarver v. Tarver","1835-02-21"
"34 U.S. 182","Field v. United States","1834-02-21"
"34 U.S. 204","King's Heirs v. Thompson","1835-02-21"
"34 U.S. 224","Mayor of New Orleans v. De Armas","1835-02-09"
"34 U.S. 238","United States v. Bailey","1835-01-20"
"34 U.S. 267","United States v. Bailey","1835-01-23"
"34 U.S. 275","Boyce's Executors v. Grundy","1835-02-24"
"34 U.S. 292","Greenleaf v. Birth","1835-02-09"
"34 U.S. 301","Beard v. Rowan","1835-01-31"
"34 U.S. 319","United States v. Robeson","1835-03-14"
"34 U.S. 329","Beers v. Haughton","1835-02-28"
"34 U.S. 378","Bank of United States v. Waggener","1835-02-03"
"34 U.S. 405","Platt v. Vattier","1835-02-09"
"34 U.S. 418","Scott v. Lloyd.","1835-03-05"
"34 U.S. 461","Fenwick v. Chapman","1835-03-12"
"34 U.S. 483","Harrison v. Nixon","1835-01-29"
"34 U.S. 541","Chesapeake & Ohio Canal Co. v. Knapp","1835-03-06"
"34 U.S. 571","Life & Fire Ins. Co. of N.Y. v. Adams",""
"34 U.S. 573","Life & Fire Ins. Co. of N.Y. v. Adams","1835-02-24"
"34 U.S. 607","Owings v. Hull","1835-03-10"
"34 U.S. 632","Livingston v. Story","1835-02-18"
"34 U.S. 663","Winn v. Patterson","1835-02-17"
"34 U.S. 682","United States v. Brig Burdett","1835-03-16"
"34 U.S. 692","Urtetiqui v. D'Arcy","1835-03-16"
"34 U.S. 704","Ex Parte Milburn","1835-03-14"
"34 U.S. 711","Mitchel v. United States","1835-03-17"
"35 U.S. 1","Dubois v. Hapburn","1836-01-18"
"35 U.S. 24","Owings v. Lessee of Tiernan","1836-01-18"
"35 U.S. 25","Harris v. Elliott","1836-01-23"
"35 U.S. 58","Lessee of Tucker v. Moreland","1836-01-23"
"35 U.S. 80","Tracy v. Swartwout","1836-01-21"
"35 U.S. 100","Soulard's Heirs v. United States","1836-01-21"
"35 U.S. 107","Hook v. Linton","1836-01-30"
"35 U.S. 108","Hobart v. Drogan","1836-02-02"
"35 U.S. 125","United States v. Heirs of Hawkins","1836-02-02"
"35 U.S. 137","Elliott v. Swartwout","1836-02-01"
"35 U.S. 160","Hagan v. Foison",""
"35 U.S. 161","Ventress v. Smith","1836-02-06"
"35 U.S. 177","Boone v. Chiles","1836-02-03"
"35 U.S. 257","Sprigg v. Bank of Mount Pleasant","1836-02-11"
"35 U.S. 269","Ringo v. Binns","1836-02-10"
"35 U.S. 283","Haydel v. Girod","1836-02-12"
"35 U.S. 286","Davis v. Braden","1836-02-13"
"35 U.S. 291","Keene v. Heirs of Clark","1836-02-19"
"35 U.S. 294","Leland v. Wilkinson","1836-02-17"
"35 U.S. 298","Gilman v. Rives","1836-02-24"
"35 U.S. 303","United States v. Fernandez","1836-02-06"
"35 U.S. 306","United States v. Segui","1836-02-06"
"35 U.S. 308","United States v. Chaires","1836-02-06"
"35 U.S. 309","United States v. Seton","1836-02-06"
"35 U.S. 313","United States v. Sibbald","1836-02-06"
"35 U.S. 326","Smith v. United States","1836-02-10"
"35 U.S. 338","Wherry v. United States","1836-02-18"
"35 U.S. 340","Mackey v. United States","1836-02-18"
"35 U.S. 343","U.S. v. Bradley","1836-02-08"
"35 U.S. 366","Smith v. Vaughan","1836-02-15"
"35 U.S. 368","Crowell v. Randell","1836-01-28"
"35 U.S. 400","Hagan v. Lucas","1836-02-26"
"35 U.S. 407","Macomb v. Armstead","1836-02-23"
"35 U.S. 408","Packer v. Nixon","1836-02-26"
"35 U.S. 412","Ellicott v. Pearl","1836-02-16"
"35 U.S. 447","Owings v. Tiernan's Lessee","1836-01-18"
"35 U.S. 449","Voorhees v. Jackson","1836-02-15"
"35 U.S. 480","Jackson v. Ashton","1836-02-26"
"35 U.S. 482","Lee v. Dick","1836-02-26"
"35 U.S. 497","Brown v. Swann","1836-02-18"
"35 U.S. 507","Columbia Ins. Co. of Alexandria v. Lawrence","1836-02-18"
"35 U.S. 521","Stanley v. Gadsby","1836-02-26"
"35 U.S. 524","Denn v. Reid","1836-02-22"
"35 U.S. 532","Peter v. Beverly","1836-02-22"
"35 U.S. 572","Dickins v. Beal","1836-02-26"
"35 U.S. 583","Wallingsford v. Allen","1836-02-26"
"35 U.S. 596","Brent v. Bank of Washington","1836-02-26"
"35 U.S. 618","United States v. Gardner","1836-02-26"
"35 U.S. 625","McLearn v. Wallace","1836-02-26"
"35 U.S. 647","Wetmore v. United States","1836-02-22"
"35 U.S. 657","Clarke v. Kownslar","1836-02-26"
"35 U.S. 662","Mayor of New Orleans v. United States","1836-02-09"
"36 U.S. 1","Lessee of Marlatt v. Silk","1837-01-16"
"36 U.S. 25","McMicken v. Webb","1837-02-02"
"36 U.S. 41","Lessee of Ewing v. Burnet","1837-02-02"
"36 U.S. 55","Veazie v. Wadleigh","1837-01-14"
"36 U.S. 63","Allen v. Hammond","1837-02-03"
"36 U.S. 73","United States v. Ship Garonne","1837-02-02"
"36 U.S. 80","Evans v. Gee","1837-02-09"
"36 U.S. 86","United States v. Leffler","1837-02-10"
