nameAdvocate,homeAdvocate,dateArgument,caseInfo,citeInfo,role,transcriptURL,notes
Wandaleen Poynter,,1979-04-23,"Southern Railway Co. v. Seaboard Allied Milling Corp. (No. 78-604), 442 U.S. 444 (1979)",1978 J. Sup. Ct. U.S. 615,,,
Doris Peterson,,1979-04-24,"Stafford v. Briggs (No. 77-1546), 444 U.S. 527 (1979)",1978 J. Sup. Ct. U.S. 618,,,
Elinor H. Stillman,,1979-04-24,"Stafford v. Briggs (No. 77-1546), 444 U.S. 527 (1979)",1978 J. Sup. Ct. U.S. 618,,,
Harriet S. Shapiro,,1979-04-25,"Califano v. Boles (No. 78-808), 443 U.S. 282 (1979)",1978 J. Sup. Ct. U.S. 619,,,
Harriet S. Shapiro,,1979-10-01,"Andrus v. Allard (No. 78-740), 444 U.S. 51 (1979)",1979 J. Sup. Ct. U.S. 129,,,
Kathryn A. Oberly,,1979-10-01,"Kaiser Aetna v. United States (No. 78-738), 444 U.S. 164 (1979)",1979 J. Sup. Ct. U.S. 129,,,
Elinor H. Stillman,,1979-10-03,"U.S. v. Kubrick (No. 78-1014), 444 U.S. 111 (1979)",1979 J. Sup. Ct. U.S. 133,,,
Harriet S. Shapiro,,1979-10-31,"U.S. v. Clark (No. 78-1513), 445 U.S. 23 (1980)",1979 J. Sup. Ct. U.S. 201,,,
Doris Peterson,,1979-11-07,"Stafford v. Briggs (No. 77-1546), 444 U.S. 527 (1979)",1979 J. Sup. Ct. U.S. 225,,,
Elinor H. Stillman,,1979-11-07,"Stafford v. Briggs (No. 77-1546), 444 U.S. 527 (1979)",1979 J. Sup. Ct. U.S. 225,,,
Amy Loeserman Klein,,1979-11-28,"Seatrain Shipbuilding Corp. v. Shell Oil Co. (No. 78-1651), 444 U.S. 572 (1980)",1979 J. Sup. Ct. U.S. 294,,,
Joan E. Pilver,,1980-01-09,"Maher v. Gagne (No. 78-1888), 448 U.S. 122 (1980)",1979 J. Sup. Ct. U.S. 373,,,
Barbara A.H. Smith,,1980-01-09,"Massachusetts v. Meehan (No. 78-1874), 445 U.S. 39 (1980)",1979 J. Sup. Ct. U.S. 373,,,
Elinor H. Stillman,,1980-01-14,"White Mountain Apache Tribe v. Bracker (No. 78-1177), 448 U.S. 1980",1979 J. Sup. Ct. U.S. 390,,,
Maryann Walsh,,1980-01-16,"Harrison v. PPG Industries, Inc. (No. 78-1918), 446 U.S. 578 (1980)",1979 J. Sup. Ct. U.S. 393,,,
Harriet S. Shapiro,,1980-02-19,"New York Gaslight Club, Inc. v. Carey (No. 79-192), 447 U.S. 54 (1980)",1979 J. Sup. Ct. U.S. 458,,,
Ellen Broadman,,1980-02-19,"Supreme Court of Virginia v. Consumers Union of the United States, Inc. (No. 79-198), 446 U.S. 719 (1980)",1979 J. Sup. Ct. U.S. 459,,,
Marilyn J. Gelb,,1980-02-20,"Cuyler v. Sullivan (No. 78-1832), 446 U.S. 335 (1980)",1979 J. Sup. Ct. U.S. 463,,,
Joan B. Gottschall,,1980-02-25,"U.S. v. Raddatz (No. 79-8), 447 U.S. 667 (1980)",1979 J. Sup. Ct. U.S. 482,,,
Elinor H. Stillman,,1980-03-18,"PruneYard Shopping Center v. Robins (No. 79-289), 447 U.S. 74 (1980)",1979 J. Sup. Ct. U.S. 524,,,
Judith P. Vladeck,,1980-03-25,"Mohasco Corporation v. Silver (No. 79-616), 447 U.S. 807 (1980)",1979 J. Sup. Ct. U.S. 546,,,
Janet L. Cox,,1980-03-26,"Hicks v. Oklahoma (No. 78-6885), 447 U.S. 343 (1980)",1979 J. Sup. Ct. U.S. 547,,,
Ellen G. Robinson,,1980-04-15,"Carey v. Brown (No. 79-703), 447 U.S. 455 (1980)",1979 J. Sup. Ct. U.S. 600,,,
Harriet S. Shapiro,,1980-04-15,"Roadway Express, Inc. v. Piper (No. 79-701), 447 U.S. 752 (1980)",1979 J. Sup. Ct. U.S. 600,,,
Rhonda Copelon,,1980-04-21,"Harris v. McRae (No. 79-1268), 448 U.S. 297 (1980)",1979 J. Sup. Ct. U.S. 620,,,
Maria Parisi-Vickers,,1980-10-07,"Cuyler v. Adams (No. 78-1841), 449 U.S. 433 (1981)",1980 J. Sup. Ct. U.S. 97,,,name originally spelled Maria Parisi Vickers
Judith E. Harris,,1980-10-07,"Delaware State College v. Ricks (No. 79-839), 449 U.S. 250 (1980)",1980 J. Sup. Ct. U.S. 97,,,
Blanca Bianchi de la Torre,,1980-10-07,"Thomas v. Indiana Review Board (No. 79-952), 450 U.S. 707 (1981)",1980 J. Sup. Ct. U.S. 97,,,
Anita Ashton,,1980-10-08,"Estelle v. Smith (No. 79-1127), 451 U.S. 454 (1981)",1980 J. Sup. Ct. U.S. 99,,,
Elinor H. Stillman,,1980-10-09,"Potomac Electric Power Co. v. Workers' Compensation Program (No. 79-816), 449 U.S. 268 (1980)",1980 J. Sup. Ct. U.S. 99,,,
Kristin Booth Glen,,1980-11-03,"FCC v. WNCN Listeners Guild (No. 79-824), 450 U.S. 582 (1981)",1980 J. Sup. Ct. U.S. 166,,,
Wilhelmina Reuben Cooke,,1980-11-03,"FCC v. WNCN Listeners Guild (No. 79-824), 450 U.S. 582 (1981)",1980 J. Sup. Ct. U.S. 166,,,
Harriet S. Shapiro,,1980-11-10,"Universities Research Assn, Inc. v. Coutu (No. 78-1945), 450 U.S. 754 (1981)",1980 J. Sup. Ct. U.S. 184,,,
Elinor H. Stillman,,1980-11-12,"Delta Airlines v. August (No. 79-814), 450 U.S. 346 (1981)",1980 J. Sup. Ct. U.S. 185,,,
Susan M. Vance,,1980-11-12,"Delta Airlines v. August (No. 79-814), 450 U.S. 346 (1981)",1980 J. Sup. Ct. U.S. 185,,,
Barbara E. Etkind,,1980-12-01,"U.S. v Cortez (No. 79-404), 449 U.S. 411 (1981)",1980 J. Sup. Ct. U.S. 259,,,
Barbara Housman-Smith,,1980-12-10,"Kirchberg v. Feenstra (No. 79-1388), 450 U.S. 455 (1981)",1980 J. Sup. Ct. U.S. 281,,,
Regina M. Small,,1981-01-12,"Doe v. Delaware (No. 79-5932), 450 U.S. 382 (1981)",1980 J. Sup. Ct. U.S. 351,,,
Judith H. Mizner,,1981-01-19,"Albernaz v. U.S. (No. 79-1709), 450 U.S. 333 (1981)",1980 J. Sup. Ct. U.S. 372,,,
Elinor H. Stillman,,1981-01-21,"California v. Sierra Club (No. 79-1252), 451 U.S. 287 (1981)",1980 J. Sup. Ct. U.S. 377,,,
Jean P. Kemp,,1981-03-02,"Rhodes v. Chapman (No. 80-332), 452 U.S. 337 (1981)",1980 J. Sup. Ct. U.S. 466,,,
Carol A. Hewitt,,1981-03-23,"County of Washington v. Gunther (No. 80-429), 452 U.S. 161 (1981)",1980 J. Sup. Ct. U.S. 513,,,
Mary R. Carden,,1981-03-23,"Webb v. Webb (No. 79-6853), 451 U.S. 493 (1981)",1980 J. Sup. Ct. U.S. 513,,,
Patricia J. Barry,,1981-03-31,"Lehman v. Nakshian (No. 80-242), 453 U.S. 156 (1981)",1980 J. Sup. Ct. U.S. 537,,,
Barbara E. Etkind,,1981-04-28,"Howe v. Smith (No. 80-5392), 452 U.S. 473 (1981)",1980 J. Sup. Ct. U.S. 602,,,
Nancy Stearns,,1981-10-13,"Weinberger v. Catholic Action of Hawaii (No. 80-1377), 454 U.S. 139 (1981)",1981 J. Sup. Ct. U.S. 134,,,
Natalie E. West,,1981-10-14,"Citizens Against Rent Control v. Berkeley (No. 80-737), 454 U.S. 290 (1981)",1981 J. Sup. Ct. U.S. 135,,,
Mary S. Burdick,,1981-11-03,"Cabell v. Chavez-Salido (No. 80-990), 454 U.S. 432 (1982)",1981 J. Sup. Ct. U.S. 185,,,
Barbara E. Etkind,,1981-11-10,Kaiser Steel Corp. v. Mullins (No. 80-1345) 455 U.S. 72 (1982),1981 J. Sup. Ct. U.S. 209,,,
Vanessa Ruiz,,1981-12-01,"Havens Realty Corp. v. Coleman (No. 80-988), 455 U.S. 363 (1982)",1981 J. Sup. Ct. U.S. 264,,,
Martha A. Mills,,1981-12-01,"Lane v. Williams (No. 80-1240), 455 U.S. 624 (1982)",1981 J. Sup. Ct. U.S. 264,,,
Elinor H. Stillman,,1981-12-02,"Railway Labor Executives' Ass'n v. Gibbons (No. 80-415), 455 U.S. 457 (1982)",1981 J. Sup. Ct. U.S. 266,,,
Beverly J. Hodgson,,1981-12-09,"North Haven Bd. of Educ. v. Bell (No. 80-986), 456 U.S. 512 (1982)",1981 J. Sup. Ct. U.S. 283,,,
Sharon T. Nelson,,1982-01-01,"Federal Bureau of Investigation v. Abramson (No. 80-1735), 456 U.S. 615 (1982)",1981 J. Sup. Ct. U.S. 338,,,
Lola L. Bonner,,1982-01-12,"Mills v. Habluetzel (No. 80-6298), 456 U.S. 91 (1982)",1981 J. Sup. Ct. U.S. 340,,,
Elaine R. Jones,,1982-01-19,"Pullman-Standard v. Swint (No. 80-1190), 456 U.S. 273 (1982)",1981 J. Sup. Ct. U.S. 364,,,
Susan Gamble Smathers,,1982-01-20,"Florida Dep't of State v. Treasure Salvors, Inc. (No. 80-1924), 458 U.S. 670 (1982)",1981 J. Sup. Ct. U.S. 365,,,
Barbara E. Etkind,,1982-02-22,"Weinberger v. Rossi (No. 80-1924), 456 U.S. 25 (1982)",1981 J. Sup. Ct. U.S. 429,,,
Marie V. Driscoll,,1982-02-22,"Inwood Laboratories, Inc. v. Ives Laboratories (No. 81-11), 456 U.S. 844 (1982)",1981 J. Sup. Ct. U.S. 429,,,
Elinor H. Stillman,,1982-02-23,"Weinberger v. Romero-Barcelo (No. 80-1990), 456 U.S.305 (1982)",1981 J. Sup. Ct. U.S. 432,,,
Judith A. Gordon,,1982-03-24,"Blum v. Yaretzky (No. 80-1952), 457 U.S. 991 (1982)",1981 J. Sup. Ct. U.S. 506,,,
Harriet S. Shapiro,,1982-03-30,"California v. Grace Brethren Church (No. 81-455), 457 U.S. 393 (1982)",1981 J. Sup. Ct. U.S. 521,,,
Mary Ann Burges,,1982-03-31,"Middlesex County Ethics Committee v. Garden State Bar Association, 457 U.S. 423 (1982)",1981 J. Sup. Ct. U.S. 524,,,
Sarah E. Bennett,,1982-04-19,"F.W. Woolworth Co. v. Taxation & Revenue Dep't of New Mexico, 458 U.S. 354 (1982)",1981 J. Sup. Ct. U.S. 568,,,
Linda R. Hirshman,,1982-04-21,"Jackson Transit Authority v. Local Division 1285, Amalgamated Transit Union, AFL-CIO-CLC, 457 U.S. 15 (1982)",1981 J. Sup. Ct. U.S. 574,,,
Susan M. Jenkins,,1982-04-27,"Union Labor Life Ins. Co. v. Pireno (No. 81-389), 458 U.S. (1982)",1981 J. Sup. Ct. U.S. 594,,,
Barbara E. Etkind,,1982-10-06,"Bowen v. United States Postal Service, 459 U.S. 212 (1983)",1982 J. Sup. Ct. U.S. 95,,,
Linda K. Lager,,1982-10-13,"Connecticut v. Johnson, 460 U.S. 73 (1983)",1982 J. Sup. Ct. U.S. 120,,,
Barbara E. Etkind,,1982-11-02,"North Dakota v. United States, 460 U.S. 300 (1983)",1982 J. Sup. Ct. U.S. 167,,,
Robyn Greene,,1982-11-03,"United States v. Generix Drug Corporation, 460 U.S. 452 (1983)",1982 J. Sup. Ct. U.S. 169,,,
Harriet Lipkin,,1982-11-09,"Briscoe v. Lahue, 460 U.S. 325 (1983)",1982 J. Sup. Ct. U.S. 189,,,
Cheryl Helena Chapman,,1982-11-10,"Xerox Corporation v. County of Harris, 459 U.S. 145 (1982)",1982 J. Sup. Ct. U.S. 191,,,
Carolyn F. Corwin,,1982-11-30,"Lockheed Aircraft Corp. v. United States, 460 U.S. 190 (1983)",1982 J. Sup. Ct. U.S. 237,,,
Elinor H. Stillman,,1982-12-01,"Local 926, Int'l Union of Operating Engineers, AFL-CIO v. Jones, 460 U.S. 669 (1983)",1982 J. Sup. Ct. U.S. 239,,,aka Elinor Hadley Stillman
Deborah Bachrach,,1983-01-10,"Shaw v. Delta Airlines, 463 U.S. 85 (1983)",1982 J. Sup. Ct. U.S. 327-328,,,
Barbara D. Underwood,,1983-02-22,"Jones v. Barnes, 463 U.S. 745 (1983)",1982 J. Sup. Ct. U.S. 414,,,
Sheila M. Ginsberg,,1983-02-22,"Jones v. Barnes, 463 U.S. 745 (1983)",1982 J. Sup. Ct. U.S. 414,,,aka Sheila Ginsberg Riesel
Carolyn M. Snurkowski,,1983-02-23,"Florida v. Casal, 462 U.S. 637 (1983)",1982 J. Sup. Ct. U.S. 417,,,
Linda Gillespie Stuntz,,1983-03-01,"Tuten v. United States, 460 U.S. 660 (1983)",1982 J. Sup. Ct. U.S. 437,,,
Barbara E. Etkind,,1983-03-01,"Tuten v. United States, 460 U.S. 660 (1983)",1982 J. Sup. Ct. U.S. 437,,,
Suellen L. Davidson,,1983-03-21,"Brown v. Thomson, 462 U.S. 835 (1983)",1982 J. Sup. Ct. U.S. 481,,,
Amy Jo Gittler,,1983-03-28,"Arizona Governing Committee for Tax Deferred Annuity v. Norris, 463 U.S. 1073 (1983)",1982 J. Sup. Ct. U.S. 498,,,
Carolyn F. Corwin,,1983-03-29,"Bill Johnson's Restaurants v. NLRB, 461 U.S. 731 (1983)",1982 J. Sup. Ct. U.S. 500,,,
Charlotte Uram,,1983-03-30,"Texas v. New Mexico, 462 U.S. 554 (1983)",1982 J. Sup. Ct. U.S. 501,,,
Margaret Hunting,,1983-04-18,"Bell v. New Jersey, 461 U.S. 773 (1983)",1982 J. Sup. Ct. U.S. 548,,,
Patti S. Kitching,,1983-04-19,"Franchise Tax Board of California v. United States Postal Service, 463 U.S. 1 (1983)",1982 J. Sup. Ct. U.S. 552,,,
Kathryn A. Oberly,,1983-04-25,"Ruckelshaus v. Sierra Club, 464 U.S. 680 (1983)",1982 J. Sup. Ct. U.S. 569,,,
Susan Short,,1983-04-27,"Pickett v. Brown, 462 U.S. 1 (1983)",1982 J. Sup. Ct. U.S. 573,,,
Harriet S. Shapiro,,1983-04-27,"Newport News Shipbuilding & Dry Dock Co. v. EEOC, 462 U.S. 669 (1983)",1982 J. Sup. Ct. U.S. 773,,,
Susan Lee Voss,,1983-10-05,"South Carolina v. Regan, 465 U.S. 367 (1984)",1983 J. Sup. Ct. U.S. 83,,,
Janice M. Joyce Bartee,,1983-10-05,"Michigan v. Clifford, 464 U.S. 287 (1984)",1983 J. Sup. Ct. U.S. 83,,,
Carolyn F. Corwin,,1983-10-11,"Bureau of Alcohol, Tobacco & Firearms v. Federal Labor Relations Authority, 464 U.S. 89 (1983)",1983 J. Sup. Ct. U.S. 106,,,
Ruth E. Peters,,1983-10-11,"Bureau of Alcohol, Tobacco & Firearms v. Federal Labor Relations Authority, 464 U.S. 89 (1983)",1983 J. Sup. Ct. U.S. 106,,,
Diana Gribbon Motz,,1983-10-31,"Secretary of State of Maryland v. Joseph H. Munson Company, Inc., 467 U.S. 947 (1984)",1983 J. Sup. Ct. U.S. 152,,,
Barbara E. Etkind,,1983-10-31,"McCain v. Lybrand, 465 U.S. 236 (1984)",1983 J. Sup. Ct. U.S. 153,,,
Karen LeCraft Henderson,,1983-10-31,"McCain v. Lybrand, 465 U.S. 236 (1984)",1983 J. Sup. Ct. U.S. 153,,,
Theodora Berger,,1983-11-01,"Secretary of Interior v. California, 464 U.S. 312 (1984)",1983 J. Sup. Ct. U.S. 156,,,
Deborah C. Wyatt,,1983-11-02,"Pulliam v. Allen, 466 U.S. 522 (1984)",1983 J. Sup. Ct. U.S. 157,,,
Kathryn A. Oberly,,1983-11-07,"Kosak v. United States, 465 U.S. 848 (1984)",1983 J. Sup. Ct. U.S. 173,,,
Donna L. Zeegers,,1983-11-09,"Oliver v. United States, 466 U.S. 170 (1984)",1983 J. Sup. Ct. U.S. 177,,,
Leslie A. Benitez,,1973-11-09,"McKaskle v. Wiggins, 465 U.S. (1984)",1983 J. Sup. Ct. U.S. 177,,,
Barbara A.H. Smith,,1983-12-06,"Justices of Boston Municipal Court v. Lydon, 466 U.S. 294 (1984)",1983 J. Sup. Ct. U.S. 243,,,
Ann L. Ritter,,1983-12-06,"INS v Stevic, 467 U.S. 407 (1984)",1983 J. Sup. Ct. U.S. 243,,,
Deborah C. Wyatt,,1983-12-07,"Hudson v. Palmer, 468 U.S. 517 (1984)",1983 J. Sup. Ct. U.S. 245,,,originally listed as new advocate; actually her 2nd argument
Arlinda F. Locklear,,1983-12-07,"Solem v. Bartlett, 465 U.S. 463 (1984)",1983 J. Sup. Ct. U.S. 245,,,
Carolyn M. Snurkowski,,1984-01-10,"Strickland v. Washington, 466 U.S. 668 (1984)",1983 J. Sup. Ct. U.S. 302,,,
Barbara A.H. Smith,,1984-01-17,"Massachusetts v. Sheppard, 468 U.S. 981 (1984)",1983 J. Sup. Ct. U.S. 320,,,
Judith A. Gordon,,1984-01-17,"Schall v. Martin, 467 U.S. 253 (1984)",1983 J. Sup. Ct. U.S. 320,,,
Kathryn A. Oberly,,1984-01-17,"Nix v. Williams, 467 U.S. 431 (1984)",1983 J. Sup. Ct. U.S. 322,,,
Ann E. Keating,,1984-02-21,"Hayfield Northern Railroad Co., Inc. v. N. W. Transportation s Co., 467 U.S. 622 (1984)",1983 J. Sup. Ct. U.S. 387,,,
Harriet S. Shapiro,,1984-02-22,"Kirby Forest Industries, Inc. v. United States, 467 U.S. 1 (1984)",1983 J. Sup. Ct. U.S. 390,,,
Penny R. Warren,,1984-02-28,"James v. Kentucky, 466 U.S. 341 (1984)",1983 J. Sup. Ct. U.S. 408,,,
Nancy Alvarado Saggese,,1984-02-29,"Summa Corporation v. California, 466 U.S. 198 (1984)",1983 J. Sup. Ct. U.S. 409,,,
Kathryn A. Oberly,,1984-02-29,"South Central Timber Development, Inc. v. Wunnicke, 467 U.S. (1984)",1983 J. Sup. Ct. U.S. 410,,,
Harriet S. Shapiro,,1984-03-19,"Cooper v. Federal Reserve Bank of Richmond, 467 U.S. 867 (1984)",1983 J. Sup. Ct. U.S. 458,,,
Carolyn F. Corwin,,1984-03-27,"United States v. Yermiam, 468 U.S. 63 (1984)",1983 J. Sup. Ct. U.S. 478,,,
Barbara E. Etkind,,1984-03-27,"United States v. Rodgers, 466 U.S. 475 (1984)",1983 J. Sup. Ct. U.S. 478,,,
Mary Beth Westmoreland,,1984-03-27,"Waller v. Georgia, 467 U.S. 39 (1984)",1983 J. Sup. Ct. U.S. 478,,,
Lois DeJulio,,1984-03-28,"New Jersey v. T.L.O., 469 U.S. 325 (1985)",1983 J. Sup. Ct. U.S. 479,,,
Mary F. Keiler,,1984-03-28,"Bernal v. Fainter, 467 U.S. 216 (1984)",1983 J. Sup. Ct. U.S. 479,,,
Patti S. Kitching,,1984-04-17,"Franchise Tax Board of California v. United States Postal Service, 467 U.S. 512 (1984)",1983 J. Sup. Ct. U.S. 526,,,
Mary L. Heen,,1984-04-18,"INS v. Lopez-Mendoza, 468 U.S. 1032 (1984)",1983 J. Sup. Ct. U.S. 528,,,
Carolyn F. Corwin,,1984-04-23,"United States v. Lorenzetti, 467 U.S. 167 (1984)",1983 J. Sup. Ct. U.S. 542,,,
Kathryn A. Oberly,,1984-04-24,"Block v. Community Nutrition Institute, 467 U.S. 340 (1984)",1983 J. Sup. Ct. U.S. 543,,,
Kaletah N. Carroll,,1984-04-25,"United States v. Morton, 467 U.S. 822 (1984)",1983 J. Sup. Ct. U.S. 546,,,
Arlinda F. Locklear,,1984-10-01,"Oneida County v. Oneida Ind. Nation, 470 U.S. 226 (1985)",1984 J. Sup. Ct. U.S. 87-88,,,
Lois DeJulio,,1984-10-02,"New Jersey v. T.L.O., 469 U.S. 325 (1985)",1984 J. Sup. Ct. U.S. 89,,,
Carolyn F. Corwin,,1984-10-03,"Herb's Welding v. Gray, 470 U.S. 414 (1985)",1984 J. Sup. Ct. U.S. 91,,,
Kathryn A. Oberly,,1984-10-10,"Ohio v. Kovacs, 469 U.S. 274 (1985)",1984 J. Sup. Ct. U.S. 115,,,
Grace E. Evans,,1984-10-30,"First National Bank of Atlanta v, Bartow County Board of Tax Assessors, 470 U.S. 583 (1985)",1984 J. Sup. Ct. U.S. 171,,,
Kathryn A. Oberly,,1984-11-05,"United States v. Hensley, 469 U.S. 221 (1985)",1984 J. Sup. Ct. U.S. 188,,,
Carolyn F. Corwin,,1984-11-06,"United States v. Locke, 471 U.S. 84 (1985)",1984 J. Sup. Ct. U.S. 189,,,
Frances Dubrowski,,1984-11-06,"Chemical Manufacturers Association v. Natural Resources Defense Council, Inc., 470 U.S. 116 (1985)",1984 J. Sup. Ct. U.S. 189,,,
Frances Baker Jack,,1984-11-07,"Shea v. Louisiana, 470 U.S. 51 (1985)",1984 J. Sup. Ct. U.S. 191,,,
Yolanda Barrera Gomez,,1984-11-07,"United States v. Abel, 469 U.S. 45 (1985)",1984 J. Sup. Ct. U.S. 191,,,
Kathleen Murnaghan,,1984-11-27,"Board of License Comm'rs of Tiverton v. Pastore, 469 U.S. 238 (1985)",1984 J. Sup. Ct. U.S. 243,,,
Ellen L. Janos,,1984-11-27,"Atkins v. Parker, 472 U.S. 115 (1985)",1984 J. Sup. Ct. U.S. 243,,,
Susan V. Boleyn,,1984-11-28,"Frances v. Franklin, 471 U.S. 307 (1985)",1984 J. Sup. Ct. U.S. 245,,,
Carolyn F. Corwin,,1984-12-03,"Anderson v. City of Bessemer, 470 U.S. 564 (1985)",1984 J. Sup. Ct. U.S. 261,,,
Ruth Ann E. Galter,,1985-01-07,"Jensen v. Quaring, 472 U.S. 478 (1985)",1984 J. Sup. Ct. U.S. 319,,,
Mary Ann Burgess,,1985-01-08,"Bennett v. New Jersey, 470 U.S. 632 (1985)",1984 J. Sup. Ct. U.S. 322,,,
Jo S. Widener,,1985-01-09,"Ball v. United States, 470 U.S. 856 (1985)",1984 J. Sup. Ct. U.S. 324,,,
Jeanne S. Whiteing,,1985-01-15,"Montana v. Blackfeet Tribe of Indians, 471 U.S. 759 (1985)",1984 J. Sup. Ct. U.S. 349,,,
Deirdre Boggs,,1985-01-15,"Montana v. Blackfeet Tribe of Indians, 471 U.S. 759 (1985)",1984 J. Sup. Ct. U.S. 349,,,
Catherine G. O'Sullivan,,1985-02-19,"Northwest Wholesale Stationers, Inc. v. Pacific Stationery & Printing Company, 472 U.S. 284 (1985)",1984 J. Sup. Ct. U.S. 433,,,
Christine O. Gregoire,,1985-02-20,"Brockett v. Spokane Arcades, Inc., 472 U.S. 491 (1985)",1984 J. Sup. Ct. U.S. 436,,,
Kathryn Marie Krause,,1985-02-20,"Mountain States Telephone & Telegraph v. Pueblo of Santa Ana, 472 U.S. 237 (1985)",1984 J. Sup. Ct. U.S. 436,,,
Elizabeth Bernstein,,1985-02-25,"Kerr-McGee v. Navajo Tribe of Indians, 471 U.S. 195 (1985)",1984 J. Sup. Ct. U.S. 456,,,
Sally A. Kelly,,1985-02-26,"Metropolitan Life Insurance Company v. Massachusetts, 471 U.S. 724 (1985)",1984 J. Sup. Ct. U.S. 458,,,
Barbara A.H. Smith,,1985-03-25,"Superintendent, Massachusetts Correctional Institute at Walpole v. Hill, 472 U.S. 445 (1985)",1984 J. Sup. Ct. U.S. 533,,,
Jamie Ann Sabino,,1985-03-25,"Superintendent , Massachusetts Correctional Institute at Walpole v. Hill, 472 U.S. 445 (1985)",1984 J. Sup. Ct. U.S. 533,,,
Marilyn Holle,,1985-03-25,"Atascadero State Hospital v. Scanlon, 473 U.S. 234 (1985)",1984 J. Sup. Ct. U.S. 533,,,
Ellen L. Janos,,1985-03-26,"School Committee of the Town of Burlington v. Massachusetts Department of Education, 471 U.S. 359 (1985)",1984 J. Sup. Ct. U.S. 536,,,
Kathryn A. Oberly,,1985-03-27,"Connecticut Department of Income Maintenance v. Heckler, 471 U.S. 524 (1985)",1984 J. Sup. Ct. U.S. 538,,,aka Kathryn Anne Oberly
Emeline C. Acton,,1985-04-16,"Hillsborough County, Florida v. Automated Medical Laboratories, Inc., 471 U.S. 707 (1985)",1984 J. Sup. Ct. U.S. 584,,,
Carolyn F. Corwin,,1985-04-17,"Dowling v. United States, 473 U.S. 207 (1985)",1984 J. Sup. Ct. U.S. 585,,,
Deborah K. Chasanow,,1985-04-17,"Maryland v. Macon, 472 U.S. 463 (1985)",1984 J. Sup. Ct. U.S. 586,,,
Deirdre Boggs,,1985-04-23,"Montana v. Blackfeet Tribe of Indians, 471 U.S. 759 (1985) [REARGUMENT]",1984 J. Sup. Ct. U.S. 603,,,
Jeanne S. Whiteing,,1985-04-23,"Montana v. Blackfeet Tribe of Indians, 471 U.S. 759 (1985) [REARGUMENT]",1984 J. Sup. Ct. U.S. 603,,,
Patty Merkamp Stemler,,1985-10-09,"United States v. Rojas-Contreras, 474 U.S. 231 (1985)",1985 J. Sup. Ct. U.S. 97,,,
Judy Clare Clarke,,1985-10-09,"United States v. Rojas-Contreras, 474 U.S. 231 (1985)",1985 J. Sup. Ct. U.S. 97,,,
Mary Carol Jacobson,,1985-10-16,"Midlantic National Bank v. New Jersey Dep't of Environmental Protection, 474 U.S. 494 (1986)",1985 J. Sup. Ct. U.S. 127,,,
Kathryn A. Oberly,,1985-10-16,"United States v. Riverside Bayview Homes, Inc., 474 U.S. 121 (1985)",1985 J. Sup. Ct. U.S. 127,,,
Anne C. Paskow,,1985-10-15,"Miller v. Fenton, 474 U.S. 104 (1985)",1985 J. Sup. Ct. U.S. 127,,,
Kathryn Kolbert,,1985-11-05,"Thronbugh v. American College of Obstetricians and Gynecologists, 476 U.S. 747 (1986)",1985 J. Sup. Ct. U.S. 171,,,
Madeleine W. Mansier,,1985-11-06,"Davidson v. Cannon, 474 U.S. 344 (1986)",1985 J. Sup. Ct. U.S. 173,,,
Ann M. Sheadel,,1985-11-13,"Malley v. Briggs, 475 U.S. 335 (1986)",1985 J. Sup. Ct. U.S. 193,,,
Ann Garrison Paschall,,1985-11-13,"Wainright v. Greenfield, 474 U.S. 284 (1986)",1985 J. Sup. Ct. U.S. 193,,,
Constance L. Messore,,1985-11-13,"Moran v. Burbine, 475 U.S. 412 (1986)",1985 J. Sup. Ct. U.S. 193,,,
Holly Maguigan,,1985-12-03,"United States v. Inadi, 475 U.S. 387 (1986)",1985 J. Sup. Ct. U.S. 238,,,
Jill Wine-Banks,,1985-12-09,"Lee v. Illinois, 476 U.S. 530 (1986)",1985 J. Sup. Ct. U.S. 257,,,
Mary Carol Jacobson,,1985-12-09,"Exxon Corporation v. Hunt, 475 U.S. 355 (1986)",1985 J. Sup. Ct. U.S. 257,,,
Jane M. Gootee,,1985-12-10,"Dow Chemical Co. v. United States, 476 U.S. 227 1986)",1985 J. Sup. Ct. U.S. 260,,,
Kathryn A. Oberly,,1986-01-14,"Goldman v. Weinberger, 475 U.S. 503 (1986)",1985 J. Sup. Ct. U.S. 321,,,
Carolyn B. Kuhl,,1986-01-22,"EEOC v. Federal Labor Relations Authority, 476 U.S. 19 (1986)",1985 J. Sup. Ct. U.S. 342,,,
Ruth E. Peters,,1986-01-22,"EEOC v. Federal Labor Relations Authority, 476 U.S. 19 (1986)",1985 J. Sup. Ct. U.S. 342,,,
Joyce Ellen M. Reikes,,1986-02-26,"Press-Enterprise Co. v. Superior Court of Cal., County of Riverside, 478 U.S. 1 (1986)",1985 J. Sup. Ct. U.S. 418,,,
Carolyn B. Kuhl,,1986-02-26,"Bowen v. Owens, 476 U.S. 340 (1986)",1985 J. Sup. Ct. U.S. 418,,,
Kathryn A. Oberly,,1986-03-03,"Pennsylvania v. Delaware Valley Citizens' Council for Clean Air, 483 U.S. 711 (1987)",1985 J. Sup. Ct. U.S. 442,,,
Esther L. Hornik,,1986-03-05,"Paulussen v. Herion, 475 U.S. (1986)",1985 J. Sup. Ct. U.S. 445,,,
