usCite,caseName,dateDecision
"112 U.S. 762","FLINT AND PERE MARQUETTE RAILROAD COMPANY v. UNITED STATES","1885-01-05"
"114 U.S. 429n","UNITED STATES v. PETIT","1885-04-13"
"114 U.S. 436","DODGE v. KNOWLES","1885-05-04"
"116 U.S. 191","HEALY & ANOTHER v. JOLIET & CHICAGO RAILROAD COMPANY & ANOTHER","1886-01-04"
"117 U.S. 406","SIOUX CITY & ST. PAUL RAILROAD COMPANY & OTHERS v. CHICAGO, MILWAUKEE & ST. PAUL RAILWAY COMPANY","1886-03-29"
"118 U.S. 3","EMERSON (AS INTERPLEADER) v. SENTER & ANOTHER","1886-04-12"
"118 U.S. 626","JACKSONVILLE, PENSACOLA AND MOBILE RAILROAD COMPANY v. UNITED STATES","1886-11-01"
"120 U.S. 126","UNITED STATES v. SAUNDERS","1887-01-24"
"121 U.S. 102","ROYALL v. VIRGINIA","1887-03-28"
"122 U.S. 197","UNITED STATES v. AUFFMORDT","1887-05-27"
"123 U.S. 39","UNITED STATES v. ALABAMA","1887-10-01"
"124 U.S. 720","ANDREWS v. CONE","1887-10-01"
"127 U.S. 699","WALKER v. PENNSYLVANIA","1888-04-09"
"127 U.S. 404","HOSFORD v. HARTFORD FIRE INSURANCE COMPANY","1888-05-14"
"129 U.S. 44","CURRIE, MAYOR, v. UNITED STATESS EX REL. JACOBS","1889-01-07"
"128 U.S. 170","GAFF, EXECUTRIX v. GOTTFRIED","1888-11-05"
"130 U.S. 229","DISTRICT OF COLUMBIA v. EMERSON","1889-04-01"
"131 U.S. 292","RADFORD v. FOLSOM","1888-11-26"
"132 U.S. 614","ROBERTSON v. EDELHOFF","1890-01-06"
"137 U.S. 457","in re PENNSYLVANIA COMPANY, PETITIONER","1890-12-22"
"139 U.S. 62","PULLMAN'S PALACE CAR COMPANY v. CENTRAL TRANSPORTATION COMPANY","1891-03-02"
"139 U.S. 503","ELECTRIC GAS-LIGHTING COMPANY v. TILLOTSON","1891-04-06"
"139 U.S. 551","INLAND AND SEABOARD COASTING COMPANY v. TOLSON","1891-04-06"
"141 U.S. 673","FERRY v. KING COUNTY","1891-12-07"
"144 U.S. 407","PORTER v. BANKS","1892-03-28"
"147 U.S. 374","KEELS v. CENTRAL RAILROAD COMPANY","1893-01-23"
"149 U.S. 277","UNITED STATES v. HUMPHRIES AND MOCK","1893-05-01"
"148 U.S. 162","in re SCHNEIDER, PETITIONER (NO. 2)","1893-03-14"
"151 U.S. 443","CHAPMAN v. HANDLEY","1894-01-29"
"154 U.S. 438","INDIANAPOLIS AND VINCENNES RAILROAD COMPANY v. BACKUS","1894-05-26"
"156 U.S. 577","PITTSBURG AND SOUTHERN COAL COMPANY v. BATES","1895-03-04"
"158 U.S. 68","RISDON IRON AND LOCOMOTIVE WORKS v. MEDART","1895-04-22"
"158 U.S. 440","TIOGA RAILROAD COMPANY v. PENNSYLVANIA.","1895-05-27"
"166 U.S. 258","CHICAGO, BURLINGTON AND QUINCY RAILROAD COMPANY v. CHICAGO","1897-03-01"
"167 U.S. 104","BRYANT v. UNITED STATES","1897-05-10"
"164 U.S. 703","CHICAGO, ST. PAUL, MINNEAPOLIS AND OMAHA RAILWAY COMPANY v. ROBERTS","1896-12-07"
"165 U.S. 482","UNITED STATES v. UNION PACIFIC RAILWAY COMPANY","1897-02-15"
"169 U.S. 365","SMITH v. NAPHTALY","1898-02-28"
"169 U.S. 733","UNITED STATES AND COMANCHE INDIANS v. KEMP","1898-01-10"
"168 U.S. 706","BEARDSLEY v. BROOM, ADMINISTRATRIX","1897-11-29"
"168 U.S. 707","BACON v. THE POCONOKET","1897-12-13"
"172 U.S. 320","BELLINGHAM BAY IMPROVEMENT COMPANY v. NEW WHATCOM.","1899-01-03"
"172 U.S. 472","CHAPPELL CHEMICAL AND FERTILIZER COMPANY v. SULPHUR MINES COMPANY","1899-01-09"
"173 U.S. 662","DEPOSIT BANK OF OWENSBORO v. OWENSBORO","1899-04-03"
"173 U.S. 663","DEPOSIT BANK OF OWENSBORO v. DAVIESS COUNTY","1899-04-03"
"173 U.S. 663","FARMERS' AND TRADERS' BANK OF OWENSBORO v. OWENSBORO","1899-04-03"
"173 U.S. 664","OWENSBORO NATIONAL BANK v. OWENSBORO","1899-04-03"
"174 U.S. 428","LOUISVILLE v. THE BANK OF COMMERCE","1899-05-15"
"174 U.S. 718","CHICAGO, ROCK ISLAND AND PACIFIC RAILWAY COMPANY v. DAVID CAMPBELL","1899-05-22"
"172 U.S. 641","US AND COMANCHE INDIANS v. HOOD","1898-11-14"
"172 U.S. 642","UNITED STATES v. VAN IDERSTINE","1898-12-05"
"179 U.S. 196","LOWRY v. SILVER CITY GOLD AND SILVER MINING COMPANY","1900-12-03"
"180 U.S. 26","YAZOO AND MISSISSIPPI VALLEY RAILROAD COMPANY v. ADAMS","1901-01-07"
"180 U.S. 28","ILLINOIS CENTRAL RAILROAD COMPANY v. ADAMS","1901-01-07"
"185 U.S. 182","TALBOT v. SIOUX NATIONAL BANK","1902-04-14"
"183 U.S. 619","MIDWAY COMPANY v. EATON","1902-01-13"
"189 U.S. 255","GLIDDEN v. HARRINGTON","1903-04-06"
"187 U.S. 636","CLARENCE E. COLLINS, PLAINTIFF IN ERROR, v. STATE OF NEW HAMPSHIRE","1902-11-10"
"194 U.S. 627","CHARLES L. RAWSON et al., PETITIONERS, v. WESTERN SAND BLAST COMPANY et al.","1904-04-11"
"199 U.S. 54","GLEASON v. WHITE","1905-05-29"
"197 U.S. 235","GREER COUNTY, OKLAHOMA TERRITORY, v. TEXAS","1905-03-20"
"201 U.S. 173","ST. LOUIS DRESSED BEEF AND PROVISION COMPANY v. MARYLAND CASUALTY COMPANY","1906-03-19"
"202 U.S. 613","INTERSTATE COMMERCE COMMISSION, APPELLANT, v. THE LAKE SHORE AND MICHIGAN SOUTHERN RAILWAY COMPANY et al.","1906-05-21"
"206 U.S. 441","ILLINOIS CENTRAL RAILROAD COMPANY, GULF AND SHIP ISLAND RAILROAD COMPANY, SOUTHERN RAILROAD COMPANY v. THE INTERSTATE COMMERCE COMMISSION","1907-05-27"
"210 U.S. 440","AMERICAN RAILROAD COMPANY OF PORTO RICO v. DE CASTRO","1907-02-25"
"205 U.S. 354","THE WINNEBAGO","1907-04-08"
"204 U.S. 668","UNITED STATES et al., APPELLANTS, v. WILLIAM B. KIRK","1907-02-25"
"205 U.S. 539","WILLIAM MCCOACH, COLLECTOR, ETC., PETITIONER, v. THE PHILADELPHIA TRUST, SAFE DEPOSIT AND INSURANCE COMPANY et al., EXECUTORS","1907-04-22"
"209 U.S. 317","NATIONAL LIFE INSURANCE COMPANY OF THE UNITED STATES OF AMERICA v. NATIONAL LIFE INSURANCE COMPANY","1908-04-06"
"211 U.S. 489","LEMIEUX v. YOUNG, TRUSTEE","1909-01-04"
"213 U.S. 297","UNITED STATES v. EVANS","1909-04-19"
"213 U.S. 325","LEEDS & CATLIN COMPANY v. VICTOR TALKING MACHINE COMPANY (NO. 2)","1909-04-19"
"214 U.S. 507","UNITED STATES FIDELITY & GUARANTY COMPANY v. UNITED STATES","1909-05-24"
"215 U.S. 527","BRILL v. WASHINGTONN RAILWAY AND ELECTRIC COMPANY","1910-01-17"
"224 U.S. 1","HENRY v. A.B. DICK COMPANY","1912-03-11"
"226 U.S. 12","MONSIGNOR HARTY v. MUNICIPALITY OF VICTORIA","1912-11-11"
"229 U.S. 102","CHICAGO, ROCK ISLAND & PACIFIC RAILWAY COMPANY v. DOWELL","1913-05-26"
"231 U.S. 183","UNITED STATES v. DAVIS","1913-12-01"
"233 U.S. 652","12 ENNIS WATER WORKS v. CITY OF ENNIS","1914-05-25"
"234 U.S. 91","OCAMPO v. UNITED STATES","1914-05-25"
"233 U.S. 261","AMERICAN IRON AND STEEL MANUFACTURING CO. v. SEABOARD AIR LINE RAILWAY","1914-04-06"
"231 U.S. 742","PARIS & GREAT NORTHERN RAILROAD COMPANY, PLAINTIFF IN ERROR, v. MRS. GEORGIA BOSTON et al.","1913-12-15"
"234 U.S. 752","WALTER A. LEDBETTER, RECEIVER, ETC., PLAINTIFF IN ERROR, v. KAUFMAN MANDELL","1914-05-04"
"236 U.S. 434","MEEKER v. LEHIGH VALLEY RAILROAD","1915-02-23"
"235 U.S. 686","THE UNITED STATES, PLAINTIFF IN ERROR, v. HOLLAND-AMERICAN LINE","1914-11-02"
"240 U.S. 369","TANNER, ATTORNEY GENERAL OF THE STATE OF WASHINGTONN, v. LITTLE","1916-03-06"
"239 U.S. 520","COMMERCIAL NATIONAL BANK OF NEW ORLEANS v. CANAL-LOUISIANA BANK & TRUST COMPANY","1916-01-10"
"244 U.S. 25","CHICAGO LIFE INSURANCE COMPANY et al. v. CHERRY","1917-05-07"
"244 U.S. 432","VALDEZ v. UNITED STATES","1917-06-11"
"243 U.S. 629","FRANK C. STETTLER, PLAINTIFF IN ERROR, v. EDWIN v. O'HARA et al., CONSTITUTING THE INDUSTRIAL WELFARE COMMISSION OF THE STATE OF OREGON","1917-04-09"
"244 U.S. 646","GEORGE SCHWEDE v. ZENITH STEAMSHIP CO.","1917-05-21"
"245 U.S. 162","PHILADELPHIA & READING COAL & IRON COMPANY v. GILBERT","1917-11-26"
"245 U.S. 390","JONES v. PERKINS, DEPUTY UNITED STATES MARSHAL, et al.","1918-01-07"
"248 U.S. 71","GULF OIL CORPORATIONN v. LEWELLYN, COLLECTOR OF INTERNAL REVENUE FOR THE TWENTY-THIRD DISTRICT OF PENNSYLVANIA","1918-12-09"
"250 U.S. 269","THE SCOW 6-S","1919-06-02"
"250 U.S. 355","F. VITELLI & SON. v. UNITED STATES","1919-06-09"
"252 U.S. 571","MCCAY ENGINEERING COMPANY v. UNITED STATES","1920-03-22"
"254 U.S. 166","DE REES v. COSTAGUTA et al., INDIVIDUALLY AND AS CO-PARTNERS COMPOSING THE CO-PARTNERSHIP OF DAVID COSTAGUTA AND COMPANY, et al.","1920-12-06"
"254 U.S. 73","UNITED STATES v. NATIONAL SURETY COMPANY","1920-11-08"
"255 U.S. 268","EDWARD RUTLEDGE TIMBER COMPANY et al. v. FARRELL","1921-02-28"
"258 U.S. 178","NEWTON, ATTORNEY GENERAL OF THE STATE OF NEW YORK, et al. v. NEW YORK & QUEENS GAS COMPANY","1922-03-06"
"260 U.S. 697","UNITED STATES v. WESLEY L. SISCHO","1922-10-16"
"263 U.S. 250","BUNCH v. COLE et al.","1923-11-19"
"269 U.S. 90","LIPSHITZ & COHEN v. UNITED STATES","1925-11-16"
"271 U.S. 195","HASSLER, INC. v. SHAW","1926-05-10"
"276 U.S. 558","NEW MEXICO v. TEXAS","1928-04-09"
"279 U.S. 812","UNITED STATES et al. v. ANCHOR COAL CO. et al.","1929-03-05"
"281 U.S. 98","STATEN ISLAND RAPID TRANSIT RAILWAY COMPANY v. PHOENIX INDEMNITY COMPANY","1930-03-17"
"281 U.S. 397","HOME INSURANCE COMPANY et al. v. DICK et al.","1930-05-05"
"280 U.S. 534","NASHVILLE, CHATTANOOGA & ST. LOUIS R. CO et al. v. MORGAN et al.","1930-01-27"
"283 U.S. 163","STANDARD OIL COMPANY (INDIANA) et al. v. UNITED STATES","1931-04-13"
"287 U.S. 224","GWINN v. COMMISSIONER OF INTERNAL REVENUE","1932-12-05"
"287 U.S. 32","GULF STATES STEEL CO. et al. v. UNITED STATES","1932-11-07"
"287 U.S. 86","SEABOARD AIR LINE RAILWAY CO. v. WATSON","1932-11-07"
"289 U.S. 516","O'DONOGHUE v. UNITED STATES","1933-05-29"
"291 U.S. 638","SEATTLE GAS CO. v. SEATTLE","1934-03-19"
"290 U.S. 591","HELVERING, COMMISSIONER OF INTERNAL REVENUE, v. DUKE et al.","1933-10-23"
"290 U.S. 591","HELVERING, COMMISSIONER OF INTERNAL REVENUE, v. NORTHERN COAL CO.","1933-10-23"
"290 U.S. 591","HELVERING v. UNITED STATES REFRACTORIES CORP.","1933-10-23"
"291 U.S. 651","INTERSTATE COMMERCE COM. v. PENNSYLVANIA R. CO.","1934-03-19"
"294 U.S. 165","SEABURY, RECEIVER, v. GREEN, ADMINISTRATRIX, et al.","1935-02-04"
"294 U.S. 79","WEST OHIO GAS CO. v. PUBLIC UTILITIES COMMISSION OF OHIO","1935-01-07"
"297 U.S. 101","MOOR v. TEXAS & NEW ORLEANS RAILROAD CO.","1936-01-13"
"300 U.S. 150","DUPONT et al. v. UNITED STATES","1937-02-01"
"299 U.S. 515","W. H. H. CHAMBERLIN v. ANDREWS, INDUSTRIAL COMMISSIONER OF NEW YORK","1936-11-23"
"306 U.S. 398","TEXAS v. FLORIDA et al.","1939-03-13"
"305 U.S. 564","UNITED STATES v. ONE 1936 MODEL FORD V-8 DE LUXE COACH","1938-10-17"
"305 U.S. 577","MONTANA EX REL. BOARD OF COUNTY COMMISSIONERS v. BRUCE, COUNTY ASSESSOR, et al.","1939-01-09"
"309 U.S. 582","WESTERN UNION TELEGRAPH COMPANY v. NESTER et al.","1940-04-22"
"309 U.S. 530","WHITNEY et al., EXECUTORS, et al. v. STATE TAX COMMISSION OF NEW YORK","1940-03-25"
"308 U.S. 519","UNITED STATES v. STONE, UNITED STATES DISTRICT JUDGE","1939-11-22"
"308 U.S. 523","HELVERING, COMMISSIONER OF INTERNAL REVENUE, v. JOHNSON","1939-12-11"
"309 U.S. 619","KOBILKIN v. PILLSBURY, DEPUTY COMMISSIONER OF U.S. EMPLOYEES' COMPENSATION COMMISSION, et al.","1940-01-29"
"309 U.S. 623","OKLAHOMA EX REL. WILLIAMSON, ATTORNEY GENERAL, v. WOODRING, SECRETARY OF WAR","1940-02-12"
"311 U.S. 104","WILSON & CO., INC. v. UNITED STATES","1940-11-18"
"309 U.S. 624","UNITED STATES v. MOSCOW FIRE INSURANCE CO.","1940-12-12"
"312 U.S. 666","GRAY, DIRECTOR OF THE BITUMINOUS COAL DIVISION OF THE DEPARTMENT OF THE INTERIOR, et al. v. POWELL et al., RECEIVERS","1941-03-31"
"313 U.S. 537","BERNARDS v. JOHNSON","1941-04-07"
"313 U.S. 537","LISENBA v. CALIFORNIA","1941-04-07"
"313 U.S. 538","NEW YORK, CHICAGO & ST. LOUIS RAILROAD CO. v. FRANK","1941-04-07"
"313 U.S. 538","TOUCEY v. NEW YORK L. INS. CO.","1941-04-07"
"313 U.S. 542","BALTIMORE & OHIO RAILROAD CO. v. KEPNER","1941-04-14"
"313 U.S. 541","COMMERCIAL MOLASSES CORP. v. NEW YORK TANK BARGE CORP.","1941-04-14"
"313 U.S. 542","REITZ v. MEALEY, COMMISSIONER OF MOTOR VEHICLES","1941-04-14"
"315 U.S. 784","HOLLAND v. LOWELL SUN CO.","1942-03-02"
"315 U.S. 783","RODIEK v. UNITED STATES","1942-03-02"
"315 U.S. 787","WEBER v. UNITED STATES","1942-03-30"
"316 U.S. 642","SCHENECTADY UNION PUB. CO. v. SWEENEY","1942-04-13"
"317 U.S. 595","UNITED STATES v. CONSUMERS PAPER CO.","1942-10-26"
"319 U.S. 732","WASHINGTON TERMINAL CO. v. BOSWELL","1943-06-14"
"320 U.S. 711","UNITED STATES EX REL. BRENSILBER v. BAUSCH & LOMB OPTICAL CO.","1943-11-08"
"320 U.S. 714","FORD MOTOR CO. v. GORDON FORM LATHE CO.","1943-12-06"
"321 U.S. 743","UNITED STATES v. WATERHOUSE et al.","1944-01-17"
"321 U.S. 753","CORAL GABLES v. WRIGHT, DOING BUSINESS AS ED. C. WRIGHT & CO., et al.","1944-03-13"
"323 U.S. 682","GIESE v. UNITED STATES","1945-01-08"
"324 U.S. 826","PACIFIC GAS & ELECTRIC CO. v. SECURITIES & EXCHANGE COMMISSION","1945-03-12"
"326 U.S. 536","MASON v. PARADISE IRRIGATION DISTRICT","1946-01-07"
"326 U.S. 696","HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH COMPANY","1946-01-28"
"327 U.S. 758","BRUCE'S JUICES, INC. v. AMERICAN CAN CO.","1946-02-11"
"327 U.S. 758","MACGREGOR v. WESTINGHOUSE ELECTRIC & MANUFACTURING CO.","1946-02-11"
"250 U.S. 633","UNITED STATES v. A. H. HEYWARD et al., ADMINISTRATORS, ETC.","1919-05-19"
"284 U.S. 577","VIRGINIAN RY. CO. v. CHAMBERS","1931-10-26"
"239 U.S. 631","PENNSYLVANIA RAILROAD COMPANY v. W.F. JACOBY & COMPANY","1915-11-15"
"212 U.S. 563","CHICAGO & ALTON RAILWAY COMPANY v. UNITED STATES","1909-01-04"
"174 U.S. 799","STONE v. BANK OF KENTUCKY","1899-05-15"
"164 U.S. 703","HILL v. CORCORAN","1896-11-16"
"260 U.S. 699","SOUTHERN LIGHTERAGE & WRECKING COMPANY v. UNITED STATES","1922-10-23"
"174 U.S. 800","CITY OF LOUISVILLE v. LOUISVILLE BANKING COMPANY","1899-05-15"
"184 U.S. 695","MISSOURI, KANSAS AND TEXAS RAILWAY COMPANY v. ELLIOTT","1902-01-20"
"174 U.S. 800","ADAMS et al., ADMINISTRATORS, v. COWEN et al., TRUSTEES","1899-05-22"
"223 U.S. 716","BENJAMIN F. ROSELLE, PLAINTIFF IN ERROR, v. THE COMMONWEALTH OF VIRGINIA","1912-03-18"
"174 U.S. 799","STONE v. LOUISVILLE BANKING COMPANY","1899-05-15"
"171 U.S. 685","GILA BEND RESERVOIR v. LINN","1898-05-31"
"174 U.S. 799","CITY OF LOUISVILLE v. BANK OF KENTUCKY","1899-05-15"
"174 U.S. 800","STONE v. DEPOSIT BANK OF FRANKFORT","1899-05-15"
"216 U.S. 614","UNITED STATES v. GRIMAUD","1910-03-14"
"216 U.S. 617","BALTIMORE & OHIO SOUTHWESTERN RAILROAD COMPANY v. UNITED STATES","1910-03-14"
"216 U.S. 603","WITHNELL v. WILLIAM R. BUSH CONSTRUCTION COMPANY","1910-02-28"
"242 U.S. 621","CHICAGO & A. R. CO. v. UNITED STATES","1917-01-15"
"179 U.S. 679","GOULD v. HUGHES","1900-10-22"
"180 U.S. 635","SCOTT v. TEXAS AND PACIFIC RAILWAY COMPANY","1901-01-14"
"247 U.S. 504","ATLANTIC, GULF & PACIFIC COMPANY v. UNITED STATES","1918-06-03"
"183 U.S. 694","UNITED STATES v. AMERICAN STEAMSHIP LAURADA","1902-01-06"
"186 U.S. 481","HANIFEN v. PRICE","1902-06-02"
"251 U.S. 548","KATE C. ARCHER, ADMINISTRATRIX OF GEORGE F. ARCHER, DECEASED, et al. v. UNITED STATES","1920-03-01"
"330 U.S. 806","UNITED STATES v. PULLMAN COMPANY et al.","1947-03-31"
"334 U.S. 816","PARKER v. ILLINOIS","1948-05-17"
"336 U.S. 956","CLAYTON MARK & CO. et al. v. FEDERAL TRADE COMMISSION.","1949-04-25"
"336 U.S. 907","TAYLOR v. DENNIS, WARDEN.","1949-02-07"
"335 U.S. 848","DOUBLEDAY & CO., INC. v. NEW YORK","1948-10-25"
"335 U.S. 895","MARZANI v. UNITED STATES","1948-12-20"
"336 U.S. 963","STEMMER v. NEW YORK","1949-05-02"
"339 U.S. 940","UNITED STATES v. COTTON VALLEY OPERATORS COMMITTEE et al.","1950-04-24"
"341 U.S. 918","BAILEY v. RICHARDSON et al.","1951-04-30"
"340 U.S. 898","UNITED STATES v. PENNER INSTALLATION CORP.","1950-12-11"
"340 U.S. 880","COMPAGNA et al. v. HIATT, WARDEN.","1950-11-13"
"340 U.S. 857","GARA v. UNITED STATES.","1950-10-23"
"343 U.S. 922","VON MOLTKE v. GILLIES, SUPERINTENDENT.","1952-04-21"
"342 U.S. 845","UNITED STATES EX REL. GIESE v. CHAMBERLIN, COMMANDING GENERAL, et al.","1951-10-15"
"342 U.S. 911","UNITED STATES v. JORDAN et al.","1952-01-14"
"342 U.S. 916","MCGRATH, ATTORNEY GENERAL, SUCCESSOR TO THE ALIEN PROPERTY CUSTODIAN, v. NAGANO","1952-01-28"
"342 U.S. 950","A/S J. LUDWIG MOWINCKELS REDERI et al. v. ISBRANDTSEN CO., INC. et al.","1952-03-10"
"345 U.S. 979","UNITED STATES v. KLINGER et al.","1953-06-15"
"345 U.S. 946","HARRISON, COLLECTOR OF INTERNAL REVENUE, v. BOHNEN, EXECUTOR, et al.","1953-05-04"
"344 U.S. 916","MARTINEZ v. NEELLY, SUCCESSOR TO JORDAN, DISTRICT DIRECTOR, IMMIGRATION AND NATURALIZATION SERVICE.","1953-01-12"
"344 U.S. 861","GULF RESEARCH & DEVELOPMENT CO. et al. v. LEAHY, U.S. DISTRICT JUDGE, et al.","1952-10-27"
"344 U.S. 860","UNITED STATES v. BELL AIRCRAFT CORP.","1952-10-27"
"341 U.S. 861","CARDOX CORP. v. C-O-TWO FIRE EQUIPMENT CO.","1952-10-27"
"346 U.S. 906","NEVADA AND NEW YORK v. STACHER.","1953-12-07"
"346 U.S. 906","TOM WE SHUNG v. BROWNELL, ATTORNEY GENERAL, et al.","1953-12-07"
"346 U.S. 929","BROWNELL, ATTORNEY GENERAL, v. RUBINSTEIN.","1954-01-11"
"346 U.S. 932","NORTH v. FLORIDA","1954-01-18"
"346 U.S. 932","COUNTY BOARD OF ARLINGTON COUNTY et al.  v. STATE MILK COMMISSION.","1954-01-18"
"347 U.S. 909","GENERAL ELECTRIC CO. et al. v. WASHINGTON.","1954-02-08"
"347 U.S. 909","JACOBSON, ADMINISTRATRIX, v. NEW YORK, NEW HAVEN & HARTFORD RAILROAD CO.","1954-02-08"
"347 U.S. 909","GORDON et al. v.  UNITED STATES","1954-02-08"
"347 U.S. 925","BENTSEN et al. v. BLACKWELL et al.","1954-03-15"
"348 U.S. 880","RICE v. SIOUX CITY MEMORIAL PARK CEMETERY, INC. et al.","1954-11-15"
"348 U.S. 891","REEVES v. ALABAMA.","1954-12-06"
"348 U.S. 932","CALIFORNIA ex rel. BROWN, ATTORNEY GENERAL, et al. v. ST. LOUIS UNION TRUST CO.","1955-02-07"
"348 U.S. 933","INDIANA DEPARTMENT OF STATE REVENUE, GROSS INCOME TAX DIVISION, v. NEBEKER.","1955-02-07"
"348 U.S. 933","COURTNEY et al. v. SCHROEDER.","1955-02-07"
"348 U.S. 940","FEDERAL TRADE COMMISSION v. RHODES PHARMACAL CO., INC. et al.","1955-02-14"
"348 U.S. 940","HARSH v. ILLINOIS TERMINAL RAILROAD CO.","1955-02-14"
"348 U.S. 945","MITCHELL, SECRETARY OF LABOR, v. JOYCE AGENCY, INC.","1955-02-28"
"348 U.S. 956","O'NEILL v. BALTIMORE & OHIO RAILROAD CO.","1955-03-07"
"348 U.S. 956","MARCELLE v. ESTATE OF LUPIA et al.","1955-03-07"
"348 U.S. 960","DIEHL v. LEHIGH VALLEY RAILROAD CO. et al.","1955-03-14"
"348 U.S. 978","GENERAL DRIVERS, WAREHOUSEMEN, AND HELPERS, LOCAL UNION NO. 89, et al. v. AMERICAN TOBACCO CO., INC.","1955-04-04"
"348 U.S. 978","in re LEVY.","1955-04-04"
"349 U.S. 901","PINO v. LANDON, DISTRICT DIRECTOR, IMMIGRATION AND NATURALIZATION SERVICE.","1955-04-11"
"349 U.S. 902","INDIAN TOWING CO., INC. et al. v. UNITED STATES.","1955-04-11"
"349 U.S. 901","RYAN STEVEDORING CO., INC. v. PANATLANTIC STEAMSHIP CORP.","1955-04-11"
"350 U.S. 857","WILLIAMS v. UNITED STATES.","1955-10-17"
"350 U.S. 868","WALTON v. CALIFORNIA.","1955-10-24"
"350 U.S. 869","LIQUID CARBONIC CORP. v. UNITED STATES","1955-10-24"
"350 U.S. 869","NUKK et al. v. SHAUGHNESSY, DISTRICT DIRECTOR, IMMIGRATION AND NATURALIZATION SERVICE.","1955-10-24"
"350 U.S. 891","MITCHELL, SECRETARY OF LABOR, v. MYRTLE GROVE PACKING CO.","1955-11-14"
"350 U.S. 920","GONZALES v. LANDON, DISTRICT DIRECTOR, IMMIGRATION AND NATURALIZATION SERVICE, et al.","1955-12-12"
"350 U.S. 955","WISCONSIN v. TENNESSEE.","1956-01-30"
"350 U.S. 1003","RIVERBANK LABORATORIES v. HARDWOOD PRODUCTS CORP.","1956-04-02"
"351 U.S. 916","SUGDEN et ux. v. UNITED STATES.","1956-04-30"
"350 U.S. 956","THOMPSON v. COASTAL OIL CO.","1956-01-30"
"350 U.S. 990","HYUN v. LANDON, DISTRICT DIRECTOR, IMMIGRATION AND NATURALIZATION SERVICE","1956-03-26"
"352 U.S. 862","MESAROSH, ALIAS NELSON, et al. v. UNITED STATES.","1956-10-10"
"352 U.S. 862","THOMPSON v. COASTAL OIL CO.","1956-10-15"
"352 U.S. 903","HOLOPHANE CO., INC., v. UNITED STATES.","1956-11-13"
"352 U.S. 985","GOLD v. UNITED STATES","1957-01-28"
"352 U.S. 978","UNITED STATES v. SCHNEER'S ATLANTA, INC.","1957-01-21"
"352 U.S. 1020","OLIN MATHIESON CHEMICAL CORP. v. NATIONAL LABOR RELATIONS BOARD.","1957-02-28"
"352 U.S. 1027","MITCHELL, SECRETARY OF LABOR, v. BEKINS VAN & STORAGE CO.","1957-03-11"
"352 U.S. 1020","UNITED STATES v. AMERICAN FREIGHTWAYS CO.","1957-03-04"
"352 U.S. 1027","LASKY ET VIR v. COMMISSIONER OF INTERNAL REVENUE.","1957-03-11"
"352 U.S. 1028","ARKANSAS & LOUISIANA MISSOURI RAILWAY CO. et al. v. AMARILLO-BORGER EXPRESS, INC., ET AL","1957-03-11"
"353 U.S. 925","DEEN v. GULF, COLORADO & SANTA FE RAILWAY CO.","1957-04-08"
"353 U.S. 926","THOMSON v. TEXAS & PACIFIC RAILWAY CO.","1957-04-08"
"358 U.S. 27","AARON et al. v. COOPER et al., MEMBERS OF THE BOARD OF DIRECTORS OF THE LITTLE ROCK, ARKANSAS, INDEPENDENT SCHOOL DISTRICT, et al.","1958-09-12"
"376 U.S. 182","BROOKS v. MISSOURI PACIFIC RAILROAD CO.","1964-02-17"
"382 U.S. 1003","CHANDLER, U.S. DISTRICT JUDGE v. JUDICIAL COUNCIL OF THE TENTH CIRCUIT OF THE UNITED STATES.","1966-01-21"
"397 U.S. 91","ARKANSAS v. TENNESSEE","1970-02-25"
"420 U.S. 28","TEST v. UNITED STATES","1975-01-27"
"446 U.S. 930","FUNGAROLI v. FUNGAROLI","1980-05-12"
"449 U.S. 1119","SEARS, ROEBUCK & CO. v. COUNTY OF LOS ANGELES","1981-01-26"
"479 U.S. 6","NORTH CAROLINA DEPARTMENT OF TRANSPORTATION et al. v. CREST STREET COMMUNITY COUNCIL, INC., et al.","1986-11-04"
"483 U.S. 27","CITICORP INDUSTRIAL CREDIT, INC. v. BROCK, SECRETARY OF LABOR","1987-06-22"
"507 U.S. 1026","GRANITE STATE INS. CO. v. TANDY CORP.","1993-04-12"
"523 U.S. 1015","CATERPILLAR INC. v. INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA","1998-03-23"
"523 U.S. 1113","LEWIS v. BRUNSWICK CORP.","1998-05-15"
"547 U.S. 268","ARKANSAS DEPARTMENT OF HEALTH AND HUMAN SERVICES, et al. v. HEIDI AHLBORN","2006-05-01"
"552 U.S. 1085","KLEIN & CO. FUTURES, INC. v. BD. OF TRADE","2007-12-28"
"559 U.S. 1088","RICK THALER, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION v. ANTHONY CARDELL HAYNES","2010-02-22"
"558 U.S. 1103","POTTAWATTAMIE COUNTY, IOWA, et al., PETITIONERS v. CURTIS W. MCGHEE, JR., et al.","2010-01-04"
"","CURT MESSERSCHMIDT et al., PETITIONERS v. BRENDA MILLENDER, AS EXECUTOR OF THE ESTATE OF AUGUSTA MILLENDER, DECEASED, et al.","2012-02-22"
