caseId,usCite,caseName,dateDecision,dayOfWeek
"1835-010","34 U.S. 301","HENRY BEARD, WILLIAM A. BEARD, LEWIS HAWKINS AND MARY HIS WIFE v. JOHN ROWAN","1835-01-31","Saturday"
"1835-023","34 U.S. 174","BENJAMIN J. TARVER, APPELLANT v. SAMUEL B. TARVER, CHARLOTTE TARVER AND PATIENCE GIBSON","1835-02-21","Saturday"
"1835-024","34 U.S. 204","GEORGE KING'S HEIRS, RAPHAEL SEMMES AND OTHERS, APPELLANTS v. JOSIAH THOMPSON AND ELIZABETH HIS WIFE","1835-02-21","Saturday"
"1835-027","34 U.S. 329","JOSEPH D. BEERS, WILLIAM L. BOOTH AND ISAAC R. ST JOHN, PLAINTIFFS IN ERROR v. RICHARD HAUGHTON","1835-02-28","Saturday"
"1835-034","34 U.S. 319","THE UNITED STATES, PLAINTIFFS IN ERROR v. WILLIAM L. ROBESON","1835-03-14","Saturday"
"1835-035","34 U.S. 704","ex parte GEORGE MILBURN","1835-03-14","Saturday"
"1836-006","35 U.S. 25","SAMUEL D. HARRIS AND OTHERS v. JESSE D. ELLIOTT","1836-01-23","Saturday"
"1836-007","35 U.S. 58","LESSEE OF ENOCH TUCKER AND RICHARD THOMPSON, PLAINTIFFS IN ERROR v. ELIZA G. MORELAND","1836-01-23","Saturday"
"1836-009","35 U.S. 107","HARRIET E. HOOK AND OTHERS, APPELLANTS v. JOHN LINTON, CURATOR","1836-01-30","Saturday"
"1836-014","35 U.S. 161","WILLIAM C. S. VENTRESS et al., EXECUTORS OF LOVIC VENTRESS, DECEASED, PLAINTIFFS IN ERROR, v. NEAL SMITH, ADMINISTRATOR OF JOHN CLARK, DECEASED","1836-02-06","Saturday"
"1836-015","35 U.S. 303","THE UNITED STATES. APPELLANTS v. STEPHEN D. FERNANDEZ AND OTHERS","1836-02-06","Saturday"
"1836-016","35 U.S. 306","THE UNITED STATES, APPELLANTS v. BERNARDO SEGUI, APPELLEE","1836-02-06","Saturday"
"1836-017","35 U.S. 308","THE UNITED STATES v. BENJAMIN CHAIRES AND OTHERS","1836-02-06","Saturday"
"1836-018","35 U.S. 309","THE UNITED STATES, APPELLANTS v. CHARLES SETON, APPELLEE","1836-02-06","Saturday"
"1836-019","35 U.S. 313","THE UNITED STATES, APPELLANTS v. CHARLES F. SIBBALD, APPELLEE","1836-02-06","Saturday"
"1836-026","35 U.S. 286","ELIZABETH DAVIS, ADMINISTRATRIX OF JOHN H. DAVIS v. ALEXANDER BRADEN","1836-02-13","Saturday"
"1837-001","36 U.S. 55","SAMUEL VEAZIE v. IRA WADLEIGH et al.","1837-01-14","Saturday"
"1837-002","36 U.S. 162","THE UNITED STATES, APPELLANTS v. NATHANIEL COX","1837-01-14","Saturday"
"1837-004","36 U.S. 226","THE STATE OF RHODE ISLAND v. THE STATE OF MASSACHUSETTS","1837-01-28","Saturday"
"1837-011","36 U.S. 167","JAMES M'BRIDE, PLAINTIFF IN ERROR v. THE LESSEE OF WILLIAM HOEY","1837-02-11","Saturday"
"1837-012","36 U.S. 185","BURGESS POOLE AND OTHERS, PLAINTIFFS IN ERROR v. THE LESSEE OF JOHN FLEEGER AND OTHERS","1837-02-11","Saturday"
"1837-013","36 U.S. 257","JOHN BRISCOE AND OTHERS v. THE PRESIDENT AND DIRECTORS OF THE BANK OF THE COMMONWEALTH OF KENTUCKY","1837-02-11","Saturday"
"1838-001","37 U.S. 11","LESSEE OF GABRIEL SWAYZE, AND MARY HIS WIFE, PLAINTIFFS IN ERROR v. ROBERT BURKE, D. SHERMAN, GEORGE JACKSON, AND JAMES HINSMAN, DEFENDANTS","1838-01-27","Saturday"
"1838-002","37 U.S. 32","THE BANK OF THE UNITED STATES APPELLANTS v. JAMES DANIEL et al. APPELLEES","1838-01-27","Saturday"
"1838-003","37 U.S. 72","THE UNITED STATES, PLAINTIFFS v. LAWRENCE COOMBS","1838-01-27","Saturday"
"1838-006","37 U.S. 1","THE UNITED STATES, PLAINTIFFS IN ERROR v. ANDREW N. LAUB","1838-02-10","Saturday"
"1838-017","37 U.S. 201","BEULAH STELLE, PLAINTIFF IN ERROR v. DANIEL CARROLL, OF DUDDINGTON, DEFENDANT IN ERROR","1838-02-24","Saturday"
"1838-022","37 U.S. 218","MOSES E. LEVY, APPELLANT v. FERNANDO DE LA MAZA ARREDONDO AND JUAN DE ENTRALGO, APPELLEES","1838-03-03","Saturday"
"1838-023","37 U.S. 378","ISAAC BRADLIE AND JOHN GIBBONS, PLAINTIFFS IN ERROR v. THE MARYLAND INSURANCE COMPANY","1838-03-03","Saturday"
"1838-024","37 U.S. 654","THE UNITED STATES, APPELLANTS v. JOSEPH DELESPINE'S HEIRS, LAZARUS AND OTHERS","1838-03-03","Saturday"
"1838-034","37 U.S. 102","GEORGE BEASTON, GARNISHEE OF THE ELKTON BANK OF MARYLAND v. THE FARMERS' BANK OF DELAWARE","1838-03-10","Saturday"
"1838-035","37 U.S. 221","N. ROGERS &amp; SONS, PLAINTIFFS IN ERROR v. JAMES BATCHELOR AND OTHERS, ADMINISTRATORS OF ABEL H. BUCKHOLTS, DECEASED","1838-03-10","Saturday"
"1838-036","37 U.S. 345","ANDREW D. HEPBURN, PLAINTIFF IN ERROR v. JACOB DUBOIS, LESSEE OF OLIVER S. WOLCOTT","1838-03-10","Saturday"
"1838-037","37 U.S. 488","ex parte CHARLES F. SIBBALD, APPELLEE v. THE UNITED STATES, APPELLANTS","1838-03-10","Saturday"
"1839-004","38 U.S. 23","THE STATE OF RHODE ISLAND VS. THE STATE OF MASSACHUSETTS","1839-01-26","Saturday"
"1839-005","38 U.S. 225","ex parte, IN THE MATTER OF DUNCAN N. HENNEN","1839-01-26","Saturday"
"1839-013","38 U.S. 81","THE UNITED STATES, APPELLANT, VS. MOSES E. LEVY, APPELLEE","1839-02-09","Saturday"
"1839-014","38 U.S. 84","THE UNITED STATES, APPELLANT, VS. WILLIAM DRUMMOND, APPELLEE","1839-02-09","Saturday"
"1839-015","38 U.S. 85","THE UNITED STATES, APPELLANTS, VS. ANDREW BURGEVIN, APPELLEE","1839-02-09","Saturday"
"1839-016","38 U.S. 88","THE UNITED STATES, APPELLANTS, VS. THE HEIRS OF FERNANDO DE LA MAZA ARREDONDO, APPELLEES","1839-02-09","Saturday"
"1839-024","38 U.S. 128","CHARLES KING, APPELLANT, VS. JOSIAS THOMPSON AND OTHERS, HEIRS AT LAW OF GEORGE KING, DECEASED, APPELLEES","1839-02-23","Saturday"
"1839-034","38 U.S. 181","WILLIAM B. STOKES, PLAINTIFF, IN ERROR, VS. FRANCIS W. SALTONSTALL, DEFENDANT IN ERROR","1839-03-02","Saturday"
"1839-035","38 U.S. 279","ex parte JESSE HOYT, COLLECTOR OF THE PORT OF NEW YORK","1839-03-02","Saturday"
"1839-036","38 U.S. 294","JOHN P. VAN NESS, APPELLANT, VS. ALPHEUS HYATT AND OTHERS, APPELLEES","1839-03-02","Saturday"
"1839-037","38 U.S. 409","THE HEIRS OF WILLIAM EMERSON, PLAINTIFFS IN ERROR, VS. CHARLES H. HALL, DEFENDANT IN ERROR","1839-03-02","Saturday"
"1839-046","38 U.S. 387","THE NEW ENGLAND INSURANCE COMPANY, VS. THE BRIG SARAH ANN, WOODBURY AND OTHERS, CLAIMANTS","1839-03-09","Saturday"
"1839-047","38 U.S. 404","ex parte MYRA CLARKE WHITNEY","1839-03-09","Saturday"
"1839-048","38 U.S. 436","CAREY BAGNELL AND THE EXECUTORS OF MORGAN BYRNE, PLAINTIFFS IN ERROR, VS. GEORGE W. BRODERICK, DEFENDANT IN ERROR","1839-03-09","Saturday"
"1839-049","38 U.S. 498","DE LA FAYETTE WILCOX, PLAINTIFF IN ERROR, VS. JOHN JACKSON, ON THE DEMISE OF MURRAY M'CONNEL, DEFENDANT IN ERROR","1839-03-09","Saturday"
"1839-050","38 U.S. 519","THE BANK OF AUGUSTA, PLAINTIFFS IN ERROR, v. JOSEPH B. EARLE, DEFENDANT IN ERROR","1839-03-09","Saturday"
"1840-004","39 U.S. 122","GEORGE RUNYAN, PLAINTIFF IN ERROR, VS. THE LESSEE OF JOHN G. COSTER AND THOMAS K. MERCIEN, WHO SURVIVED JOHN HONE, DEFENDANT IN ERROR","1840-02-01","Saturday"
"1840-005","39 U.S. 479","WILLIAM AND JAMES BROWN AND COMPANY, PLAINTIFFS IN ERROR, VS. THOMAS M'GRAN, DEFENDANT IN ERROR","1840-02-01","Saturday"
"1840-007","39 U.S. 156","AMBROSE WALDEN AND OTHERS, APPELLANTS, VS. HENRY I. BODLEY AND OTHERS, APPELLEES","1840-02-08","Saturday"
"1840-008","39 U.S. 301","THE UNITED STATES, PLAINTIFF IN ERROR, VS. JACOB KNIGHT, BENJAMIN KNIGHT, ISAAC KNIGHT, AND EDWARD KNIGHT, DEFENDANTS IN ERROR","1840-02-08","Saturday"
"1842-005","41 U.S. 65","BENJAMIN LONG, PLAINTIFF IN ERROR, v. PALMER, SMITH, AND COMPANY, DEFENDANTS IN ERROR","1842-02-05","Saturday"
"1842-006","41 U.S. 121","JAMES S. BRANDER, AND HUGH L. M'KENNA, PLAINTIFFS IN ERROR, v. WILLIAM E. PHILLIPS, AND HENRY BELL, TRADING UNDER THE FIRM OF WILLIAM PHILLIPS AND COMPANY, AND RODAH HORTON, AND NATHANIEL TERRY, DEFENDANTS IN ERROR","1842-02-05","Saturday"
"1842-017","41 U.S. 269","CHARLES KELSEY, AND CHARLES M'INTYRE, APPELLANTS, v. ALFRED M. HOBBY, AND THOMAS P. BOND, COMPLAINANTS","1842-02-19","Saturday"
"1842-040","41 U.S. 261","THE MAYOR AND ALDERMEN OF THE CITY OF MOBILE, PLAINTIFFS IN ERROR, v. WILLIAM E. HALLETT, EXECUTOR OF JOSHUA KENNEDY, DECEASED.  DEFENDANT IN ERROR","1842-03-12","Saturday"
"1842-041","41 U.S. 281","THOMAS ARMSTRONG AND OTHERS, PLAINTIFFS IN ERROR, v. THE TREASURER OF ATHENS COUNTY, DEFENDANT IN ERROR","1842-03-12","Saturday"
"1842-042","41 U.S. 291","THE UNITED STATES, PLAINTIFFS IN ERROR, v. MARY L. ELIASON, ADMINISTRATRIX OF WILLIAM A. ELIASON, DEFENDANT IN ERROR","1842-03-12","Saturday"
"1842-043","41 U.S. 303","JOHN D. AMIS, PLAINTIFF IN ERROR, v. NATHAN SMITH, DEFENDANT IN ERROR","1842-03-12","Saturday"
"1842-044","41 U.S. 336","DAVID PROUTY AND JOHN MEARS, PLAINTIFFS IN ERROR, v. DRAPER RUGGLES et al., DEFENDANTS IN ERROR","1842-03-12","Saturday"
"1843-003","42 U.S. 24","THE UNITED STATES, APPELLANTS, v. DOMINGO ACOSTA, APPELLEE","1843-01-14","Saturday"
"1843-006","42 U.S. 89","JONATHAN STROUT AND OTHERS, LIBELLANTS, ETC., APPELLANTS, v. JAMES FOSTER AND OTHERS, CLAIMANTS, AND OWNERS OF THE SHIP LOUISVILLE","1843-01-28","Saturday"
"1843-017","42 U.S. 28","WALTER SMITH, JOHN CARTER, WILLIAM S. NICHOLS AND OTHERS, SURVIVORS OF CLEMENT SMITH, DECEASED, PLAINTIFFS IN ERROR, v. DENNIS CONDRY","1843-02-18","Saturday"
"1843-020","42 U.S. 118","THOMAS MORRIS, COMPLAINANT AND APPELLANT, v. MARIA NIXON, HENRY J. WILLIAMS AND THOMAS BIDDLE, HENRY J. WILLIAMS AND MARIA NIXON, EXECUTORS OF THE LAST WILL AND TESTAMENT OF HENRY NIXON, DECEASED, AND MARIA NIXON, SOLE DEVISEE OF THE SAID LAS","1843-02-25","Saturday"
"1844-005","43 U.S. 73","BENJAMIN J. KNAPP, PLAINTIFF IN ERROR, v. EDMUND BANKS","1844-02-03","Saturday"
"1844-008","43 U.S. 66","SPALDING v. THE PEOPLE OF THE STATE OF NEW YORK, EX REL. FREDERICK F. BACKUS","1844-02-24","Saturday"
"1844-009","43 U.S. 66","GLENDY BURKE, PLAINTIFF IN ERROR, v. ROBERT MCKAY","1844-02-24","Saturday"
"1844-020","43 U.S. 608","JOHN L. MCCRACKEN, PLAINTIFF IN ERROR, v. CHARLES HAYWARD","1844-03-09","Saturday"
"1844-021","43 U.S. 653","WILLIAM R. HANSON, JOSEPH L. MOSS, ISAAC PHILLIPS, JOSEPH M. MOSS, AND DAVID SAMUEL, PLAINTIFFS IN ERROR, v. LESSEE OF JOHN H. EUSTACE","1844-03-09","Saturday"
"1844-022","43 U.S. 711","THE BANK OF THE UNITED STATES, PLAINTIFF IN ERROR, v. THE UNITED STATES","1844-03-09","Saturday"
"1844-036","43 U.S. 344","PIERRE CHOUTEAU, SEN., PLAINTIFF IN ERROR, v. WILLIAM ECKHART","1844-03-16","Saturday"
"1844-037","43 U.S. 392","WILLIAM J. MINOR, AND CATHARINE HIS WIFE, PLAINTIFFS IN ERROR, v. SHUBAL TILLOTSON","1844-03-16","Saturday"
"1844-038","43 U.S. 426","SUSAN LAWRENCE, PLAINTIFF IN ERROR, v. ROBERT MCCALMONT, HUGH MCCALMONT, AND WILLIAM JOHNSON NEWELL, DEFENDANTS","1844-03-16","Saturday"
"1844-039","43 U.S. 591","LESSEE OF JOHN POLLARD, WILLIAM POLLARD, JOHN FOWLER AND HARRIET HIS WIFE, HENRY P. ENSIGN AND PHEBE HIS WIFE, GEORGE HUGGINS AND LOUISA HIS WIFE, JOSEPH CASE AND ELIZA HIS WIFE, PLAINTIFF IN ERROR, v. JOSEPH F. FILES, DEFENDANT","1844-03-16","Saturday"
"1847-015","46 U.S. 295","JAMES INNERARITY, PLAINTIFF IN ERROR, v. THOMAS BYRNE","1847-03-06","Saturday"
"1847-035","46 U.S. 504","THE LICENSE CASES: SAMUEL THURLOW, PLAINTIFF IN ERROR, v. THE COMMONWEALTH OF MASSACHUSETTS","1847-03-06","Saturday"
"1848-032","47 U.S. 228","RICHARD BEIN AND MARY, HIS WIFE, APPELLANTS, v. MARY HEATH","1848-03-11","Saturday"
"1848-033","47 U.S. 279","THE UNITED STATES, PLAINTIFFS IN ERROR, v. A. HODGE AND LEVI PEARCE","1848-03-11","Saturday"
"1848-034","47 U.S. 284","JOHN D. BUSH, APPELLANT, v. JACOB MARSHALL AND WILLIAM B. WHITESIDES","1848-03-11","Saturday"
"1848-035","47 U.S. 437","PETER HOGG AND CORNELIUS H. DELAMATER, PLAINTIFFS IN ERROR, v. JOHN B. EMERSON","1848-03-11","Saturday"
"1848-036","47 U.S. 486","WILLIAM HOUSTON AND OTHERS, AND FRANCIS FISK AND OTHERS, PLAINTIFFS IN ERROR, v. THE CITY BANK OF NEW ORLEANS","1848-03-11","Saturday"
"1852-058","154 U.S. 532","UNITED STATES v. CARRERE","1853-04-03","Sunday"
"1854-064","58 U.S. 170","THE SCHOONER CATHARINE, HER TACKLE, ETC., STARKS W. LEWIS AND OTHERS, OWNERS AND CLAIMANTS, APPELLANTS, v. NOAH DICKINSON AND OTHERS, LIBELLANTS","1855-03-10","Saturday"
"1854-065","58 U.S. 477","CHARLES MINTURN, APPELLANT, v. LAFAYETTE MAYNARD, GILBERT A. GRANT, THOMAS G. WELLS, LUCIEN SKINNER, FREDERICK BILLINGS, CHARLES J. BRENHAM, ISAAC T. MOTT, J. DE LA MONTAGNE, E. M. NEAL, AND THOMAS L. CHAPMAN","1855-03-10","Saturday"
"1854-066","58 U.S. 525","THE UNITED STATES, APPELLANTS, v. ARCHIBALD A. RITCHIE","1855-03-10","Saturday"
"1854-067","58 U.S. 542","JOHN CHARLES FREMONT, APPELLANT, v. THE UNITED STATES","1855-03-10","Saturday"
"1854-068","58 U.S. 596","JOHN C. HAYS, PLAINTIFF IN ERROR, v. THE PACIFIC MAIL STEAM-SHIP COMPANY","1855-03-10","Saturday"
"1854-069","58 U.S. 601","WILLIAM CHRISTY, PLAINTIFF IN ERROR, v. LODOVICK P. ALFORD, ADMINISTRATOR OF HENRY D. BULLARD, DECEASED","1855-03-10","Saturday"
"1869-096","76 U.S. 513","THE WASHINGTON AND THE GREGORY","1870-04-30","Saturday"
"1869-100","76 U.S. 531","UNITED STATES v. PADELFORD","1870-04-30","Saturday"
"1869-106","76 U.S. 579","THOMSON v. PACIFIC RAILROAD","1870-04-30","Saturday"
"1869-109","76 U.S. 605","ex parte MORRIS AND JOHNSON","1870-04-30","Saturday"
"1869-113","76 U.S. 617","IRVINE v. IRVINE","1870-04-30","Saturday"
"1869-114","76 U.S. 630","THE CORSICA","1870-04-30","Saturday"
"1869-118","76 U.S. 655","GREEN v. UNITED STATES","1870-04-30","Saturday"
"1869-119","76 U.S. 659","DOWNHAM v. ALEXANDRIA","1870-04-30","Saturday"
"1869-120","76 U.S. 661","UNITED STATES v. ADAMS","1870-04-30","Saturday"
"1869-121","76 U.S. 664","HERNDON v. HOWARD","1870-04-30","Saturday"
"1869-124","76 U.S. 677","INSURANCE COMPANY v. WEIDE","1870-04-30","Saturday"
"1869-126","76 U.S. 687","THE PROTECTOR","1870-04-30","Saturday"
"1869-129","76 U.S. 736","SUPERVISORS v. DURANT","1870-04-30","Saturday"
"1869-132","76 U.S. 743","WALKER v. WALKER'S EXECUTOR","1870-04-30","Saturday"
"1869-134","76 U.S. 759","WATKINS v. UNITED STATES","1870-04-30","Saturday"
"1869-135","76 U.S. 766","BUTLER v. MAPLES","1870-04-30","Saturday"
"1869-137","76 U.S. 785","CARPENTER v. WILLIAMS","1870-04-30","Saturday"
"1869-141","76 U.S. 812","BISCHOFF v. WETHERED","1870-04-30","Saturday"
"1869-175","77 U.S. 1","THE BLACKWALL","1870-04-30","Saturday"
"1869-176","77 U.S. 15","THE DAVIS","1870-04-30","Saturday"
"1869-177","77 U.S. 26","LITTLE v. HERNDON","1870-04-30","Saturday"
"1869-178","77 U.S. 33","BATES v. EQUITABLE INSURANCE COMPANY","1870-04-30","Saturday"
"1869-179","77 U.S. 129","WIGGINS et al. v. BURKHAM","1870-04-30","Saturday"
"1869-180","76 U.S. 805","RUBBER CO. v. GOODYEAR","1870-04-30","Saturday"
"1869-188","131 U.S. xcviii","A.B. WOOD v. DE FORREST RICHARDS","1870-04-30","Saturday"
"1869-189","154 U.S. 576","WILLIAM S. GODBE v. TOOTLE ET AL","1870-04-30","Saturday"
"1869-200","154 U.S. 575","JONATHAN C. STURTEVANT v. JOHN M. HERNDON","1870-04-30","Saturday"
"1869-201","154 U.S. 574","ISSAC UNDERHILL v. JOHN M. HERNDON","1870-04-30","Saturday"
"1869-202","154 U.S. 573","ENOCH LONG, ABEL STURTEVANT AND JOHN ROBINSON v. PEGGY F. PATTON","1870-04-30","Saturday"
"1869-203","154 U.S. 575","ISSAC UNDERHILL v. PEGGY F. PATTON","1870-04-30","Saturday"
"1881-225","108 U.S. 32","STEBBINS v. DUNCAN AND OTHERS","1882-10-01","Sunday"
"1881-226","108 U.S. 51","CONNECTICUT MUTUAL LIFE INSURANCE COMPANY v. CUSHMAN AND ANOTHER","1882-10-01","Sunday"
"1881-227","108 U.S. 66","MEDSKER AND WIFE v. BONEBRAKE, ASSIGNEE","1882-10-01","Sunday"
"1881-228","108 U.S. 92","THE NUESTRA SENORA DE REGLA","1882-10-01","Sunday"
"1881-229","108 U.S. 510","WESTERN PACIFIC RAILROAD COMPANY &amp; ANOTHER v. UNITED STATES","1882-10-01","Sunday"
"1884-164","113 U.S. 756","HARDIN, ADMINISTRATRIX, &amp; OTHERS v. BOYD, ADMINISTRATOR, &amp; OTHERS","1885-03-15","Sunday"
"1886-309","123 U.S. 39","UNITED STATES v. ALABAMA","1887-10-01","Saturday"
"1886-310","123 U.S. 297","RUGGLES v. MANISTEE RIVER IMPROVEMENT CO","1887-10-01","Saturday"
"1886-311","124 U.S. 720","ANDREWS v. CONE","1887-10-01","Saturday"
"1892-056","148 U.S. 648","ISAACS v. JONAS","1892-04-10","Sunday"
"1893-077","152 U.S. 346","WESTERN NATIONAL BANK v. ARMSTRONG","1893-03-12","Sunday"
"1893-138","151 U.S. 658","DOWER v. RICHARDS","1894-02-04","Sunday"
"1893-163","152 U.S. 230","LOUISVILLE, EVANSVILLE, AND ST. LOUIS RAILROAD COMPANY v. CLARKE","1894-03-04","Sunday"
"1893-255","153 U.S. 564","LOUD v. POMONA LAND AND WATER COMPANY","1894-05-19","Saturday"
"1893-266","154 U.S. 1","PRIMROSE v. WESTERN UNION TELEGRAPH COMPANY","1894-05-26","Saturday"
"1893-268","154 U.S. 51","CONSTABLE v. NATIONAL STEAMSHIP COMPANY","1894-05-26","Saturday"
"1893-269","154 U.S. 103","DUNHAM v. DENNISON MANUFACTURING COMPANY","1894-05-26","Saturday"
"1893-270","154 U.S. 111","MORRISON v. WATSON","1894-05-26","Saturday"
"1893-271","154 U.S. 116","in re LOCKWOOD, PETITIONER","1894-05-26","Saturday"
"1893-272","154 U.S. 118","THE HAYTIAN REPUBLIC","1894-05-26","Saturday"
"1893-273","154 U.S. 130","NORTHERN PACIFIC RAILROAD COMPANY v. PATTERSON","1894-05-26","Saturday"
"1893-274","154 U.S. 134","ST. CLAIR v. UNITED STATES","1894-05-26","Saturday"
"1893-275","154 U.S. 155","MISSOURI PACIFIC RAILWAY COMPANY v. MCFADDEN","1894-05-26","Saturday"
"1893-276","154 U.S. 163","PRENTICE v. NORTHERN PACIFIC RAILROAD COMPANY","1894-05-26","Saturday"
"1893-277","154 U.S. 177","BALKAM v. WOODSTOCK IRON COMPANY","1894-05-26","Saturday"
"1893-278","154 U.S. 190","NORTHERN PACIFIC RAILROAD COMPANY v. BABCOCK","1894-05-26","Saturday"
"1893-279","154 U.S. 204","COVINGTON AND CINCINNATI BRIDGE COMPANY v. KENTUCKY","1894-05-26","Saturday"
"1893-280","154 U.S. 224","COVINGTON AND CINCINNATI ELEVATED RAILROAD AND TRANSFER AND BRIDGE COMPANY v. KENTUCKY","1894-05-26","Saturday"
"1893-281","154 U.S. 225","UNITED STATES v. ILLINOIS CENTRAL RAILROAD COMPANY","1894-05-26","Saturday"
"1893-282","154 U.S. 244","RIGGLES v. ERNEY","1894-05-26","Saturday"
"1893-283","154 U.S. 256","MORAN v. STURGES","1894-05-26","Saturday"
"1893-284","154 U.S. 288","BARDEN v. NORTHERN PACIFIC RAILROAD COMPANY","1894-05-26","Saturday"
"1893-285","154 U.S. 349","NORTHERN PACIFIC RAILROAD COMPANY v. HAMBLY","1894-05-26","Saturday"
"1893-286","154 U.S. 362","REAGAN v. FARMERS' LOAN AND TRUST COMPANY","1894-05-26","Saturday"
"1893-287","154 U.S. 413","REAGAN v. MERCANTILE TRUST COMPANY","1894-05-26","Saturday"
"1893-288","154 U.S. 418","REAGAN v. MERCANTILE TRUST COMPANY.","1894-05-26","Saturday"
"1893-289","154 U.S. 420","REAGAN v. FARMERS' LOAN AND TRUST COMPANY","1894-05-26","Saturday"
"1893-290","154 U.S. 421","PITTSBURGH, CINCINNATI, CHICAGO AND ST. LOUIS RAILWAY COMPANY v. BACKUS","1894-05-26","Saturday"
"1893-291","154 U.S. 438","INDIANAPOLIS AND VINCENNES RAILROAD COMPANY v. BACKUS","1894-05-26","Saturday"
"1893-292","154 U.S. 439","CLEVELAND, CINCINNATI, CHICAGO AND ST. LOUIS RAILWAY COMPANY v. BACKUS","1894-05-26","Saturday"
"1893-293","154 U.S. 447","INTERSTATE COMMERCE COMMISSION v. BRIMSON","1894-05-26","Saturday"
"1895-208","162 U.S. 592","CHARLEY SMITH v. MISSISSIPPI","1896-04-18","Saturday"
"1897-046","169 U.S. 55","WILLIAMS v. PAINE","1897-01-10","Sunday"
"1898-026","172 U.S. 186","THE TERRITORY OF NEW MEXICO v. THE UNITED STATES TRUST COMPANY OF NEW YORK et al.","1898-10-01","Saturday"
"1901-007","183 U.S. 62","DISTRICT OF COLUMBIA v. ESLIN","1901-11-03","Sunday"
"1909-083","216 U.S. 322","BLAKE, TRUSTEE IN BANKRUPTCY, v. OPENHYM","1910-02-12","Saturday"
"1910-146","221 U.S. 361","WILSON v. UNITED STATES","1911-04-15","Saturday"
"1911-081","225 U.S. 436","MESSENGER v. ANDERSON","1912-06-02","Sunday"
"1915-041","239 U.S. 126","MORRIS CANAL AND BANKING COMPANY v. BAIRD","1915-11-21","Sunday"
"1919-039","253 U.S. 17","WARD et al. v. BOARD OF COUNTY COMMISSIONERS OF LOVE COUNTY, OKLAHOMA","1920-04-25","Sunday"
"1956-092","353 U.S. 547","GENERAL ELECTRIC CO. v. LOCAL 205, UNITED ELECTRICAL, RADIO AND MACHINE WORKERS OF AMERICA (U. E.)","1957-06-02","Sunday"
"1959-003","361 U.S. 39","UNITED STEELWORKERS OF AMERICA v. UNITED STATES et al.","1959-11-07","Saturday"
"1967-050","389 U.S. 421","ROCKEFELLER, GOVERNOR OF NEW YORK, et al. v. WELLS et al.","1967-12-16","Saturday"
"1968-010","393 U.S. 97","EPPERSON et al. v. ARKANSAS","1968-11-17","Sunday"
"1969-018","396 U.S. 226","CARTER et al. v. WEST FELICIANA PARISH SCHOOL BOARD et al.","1969-12-13","Saturday"
"1969-048","397 U.S. 88","ARKANSAS v. TENNESSEE","1970-01-25","Sunday"
"1971-101","406 U.S. 187","SIXTY-SEVENTH MINNESOTA STATE SENATE v. BEENS et al.","1972-04-29","Saturday"
"1972-035","409 U.S. 464","RICHARDSON, SECRETARY OF HEALTH, EDUCATION, AND WELFARE v. MORRIS et al.","1972-01-15","Saturday"
"1984-095","471 U.S. 453","UNITED STATES v. BENCHIMOL","1985-05-12","Sunday"
"1988-018","488 U.S. 272","PERRY v. LEEKE, COMMISSIONER, SOUTH CAROLINA DEPARTMENT OF CORRECTIONS, et al.","1989-01-01","Sunday"
"1988-151","492 U.S. 573","COUNTY OF ALLEGHENY et al. v. AMERICAN CIVIL LIBERTIES UNION, GREATER PITTSBURGH CHAPTER, et al.","1989-07-02","Sunday"
"1989-092","495 U.S. 731","DEMOSTHENES et al. v. BAAL et al.","1990-06-03","Sunday"
"1991-016","502 U.S. 197","KENNETH HILTON v. SOUTH CAROLINA PUBLIC RAILWAYS COMMISSION","1991-12-15","Sunday"
